B2_pos	ss	B2_reads
109398857	5ss	173
109398984	3ss	173
109399318	5ss	411
10939944	5ss	346
109400052	3ss	411
109403371	5ss	25
109404488	3ss	25
109404545	5ss	43
109405308	3ss	43
109405422	5ss	49
10940803	3ss	346
109408131	3ss	49
109408258	5ss	74
10941054	5ss	225
109410996	3ss	74
109411177	5ss	50
109414648	3ss	80
109414748	5ss	90
109414884	3ss	50
109415042	5ss	41
109416473	3ss	90
10941654	3ss	138
10941657	3ss	43
109419850	5ss	19
109421345	3ss	41
109421464	5ss	104
109427897	3ss	19
109428200	5ss	87
109429087	3ss	104
109429164	5ss	70
109429276	3ss	70
109429383	5ss	67
10942980	3ss	44
109432397	3ss	67
109432561	5ss	86
109439486	3ss	87
109439707	5ss	99
109440114	3ss	99
109440249	5ss	85
109440581	3ss	85
109440723	5ss	51
109441264	3ss	51
109441387	5ss	37
109441501	3ss	37
109441616	5ss	61
109444412	3ss	61
109444567	5ss	102
109445748	3ss	102
109445856	5ss	104
109446747	3ss	104
109446876	5ss	79
109455641	3ss	76
109455757	5ss	68
109455927	5ss	69
109456960	3ss	79
109457030	5ss	92
109461235	3ss	92
109461411	5ss	97
109461878	5ss	10
109462052	3ss	69
109462165	5ss	82
109462657	3ss	82
109462721	5ss	79
109463194	3ss	78
109463386	5ss	59
109465039	3ss	97
109465198	5ss	126
109465291	3ss	79
109465376	5ss	132
109466422	3ss	10
109466584	5ss	55
109466622	3ss	126
109466836	5ss	104
109467961	3ss	55
109468102	3ss	132
109468140	5ss	57
109468159	5ss	150
109471321	3ss	57
109471442	5ss	50
109472323	3ss	104
109473250	3ss	59
109473426	5ss	57
109475036	3ss	50
109475152	5ss	25
109476433	3ss	25
109476510	5ss	86
109476994	3ss	86
109477080	5ss	112
109480228	3ss	112
109480305	5ss	74
109480472	3ss	74
109480665	5ss	71
109481775	3ss	71
109481919	5ss	108
109482055	3ss	150
109482140	5ss	95
109482291	3ss	95
109482350	5ss	79
109483952	3ss	108
109488111	3ss	79
109488192	5ss	85
109489011	3ss	85
109489121	5ss	133
109489907	3ss	57
109490045	5ss	63
109490566	5ss	30
109491235	3ss	133
109491339	5ss	93
109492544	3ss	63
109494487	3ss	30
109494596	5ss	13
109495731	3ss	13
109495913	5ss	13
109498741	3ss	93
109505329	3ss	13
109505432	5ss	13
109509417	3ss	13
109509515	5ss	15
109510110	3ss	15
109510155	5ss	23
109511243	3ss	23
109511337	5ss	41
109519139	3ss	41
109519198	5ss	36
109519738	3ss	36
109519824	5ss	50
109520468	3ss	50
109520548	5ss	15
109520648	3ss	15
109520867	5ss	21
109522758	3ss	21
109522878	5ss	19
109523472	3ss	19
109535616	5ss	399
109536237	3ss	399
109536443	5ss	558
109536994	3ss	558
109537089	5ss	369
10953775	3ss	208
10953878	5ss	195
109539707	3ss	369
109539804	5ss	250
109540644	3ss	250
109540732	5ss	263
109541238	3ss	263
109541416	5ss	421
109541756	5ss	440
109541868	5ss	128
109543107	3ss	568
109543180	5ss	1553
109543261	3ss	1553
109543360	5ss	3079
109543671	3ss	3079
109543774	5ss	3368
109546284	3ss	3368
109546409	5ss	85
109547634	3ss	421
109551177	3ss	85
10955450	5ss	10
10956369	3ss	10
10956475	5ss	15
109571950	5ss	786
109572194	5ss	36
109575651	3ss	36
109575851	5ss	25
109576574	3ss	25
109576695	5ss	19
109576720	3ss	786
109576813	5ss	1119
109578606	3ss	1109
109578749	3ss	19
109578803	5ss	681
109578977	5ss	26
109583092	3ss	26
109583294	5ss	37
109586004	3ss	37
109586159	5ss	12
109588403	3ss	691
109589011	3ss	12
109589104	5ss	12
10959017	3ss	15
109591242	3ss	12
10960014	3ss	195
10960138	5ss	152
109612035	5ss	15
109613736	3ss	15
109617892	5ss	12
109623384	3ss	12
109625967	5ss	11
109629418	3ss	11
109629568	5ss	10
109629652	3ss	10
109633504	5ss	65
109635512	3ss	65
109635643	5ss	110
109637039	3ss	110
10964076	5ss	13
10965604	3ss	87
10967690	3ss	65
10967802	5ss	75
109679086	5ss	14
109680242	3ss	14
109690963	5ss	12
109692019	3ss	12
10970888	3ss	75
10971025	5ss	92
10974185	3ss	13
10974837	3ss	92
10974939	5ss	105
109756750	5ss	443
109757169	3ss	25
10975752	3ss	105
10975852	5ss	126
109762374	5ss	19
109762560	3ss	19
109762656	5ss	37
109762755	3ss	37
109762831	5ss	43
109763177	3ss	43
109763270	5ss	50
109763413	3ss	50
109763502	5ss	56
109763746	3ss	56
109763828	5ss	32
109763955	3ss	32
109764087	5ss	27
109764180	3ss	27
109764284	5ss	34
109764470	3ss	34
109764623	5ss	35
109764720	3ss	35
109766600	3ss	418
109766670	5ss	345
10976715	3ss	126
10976885	5ss	165
109770974	3ss	345
109771054	5ss	342
109772036	3ss	342
109772194	5ss	471
109773500	3ss	471
109773643	5ss	212
109774253	3ss	212
109774408	5ss	156
109777832	3ss	156
109778053	5ss	196
109778599	3ss	196
109778728	5ss	234
109779013	3ss	234
109779170	5ss	378
109779866	3ss	378
109779995	5ss	470
109780353	3ss	470
10979936	3ss	165
109801701	5ss	12
109803664	3ss	12
109803886	5ss	12
109804135	3ss	12
109805066	5ss	24
109805428	3ss	24
109805591	5ss	29
109805764	3ss	29
10982598	5ss	68
109915569	5ss	18
109915914	5ss	35
109919442	3ss	53
109919547	5ss	102
109921336	3ss	102
109921517	5ss	90
109921666	3ss	90
109921786	5ss	45
109923817	3ss	45
109923876	5ss	71
109924276	3ss	71
109924380	5ss	147
109926377	3ss	147
109926473	5ss	115
109927724	3ss	115
109927809	5ss	63
109928850	3ss	63
109928932	5ss	79
109935623	3ss	79
109935728	5ss	86
109936038	3ss	86
109936158	5ss	41
109937438	3ss	41
109937615	5ss	61
109939176	3ss	61
109939339	5ss	63
109940828	3ss	63
109940995	5ss	54
109945369	3ss	54
109945540	5ss	42
109947401	3ss	42
109947519	5ss	86
109948149	3ss	86
109948263	5ss	137
109949009	3ss	137
109949108	5ss	59
1099545	5ss	220
109954570	3ss	59
109954689	5ss	77
109958953	3ss	77
109959129	5ss	64
109959246	3ss	64
109959356	5ss	67
109961783	3ss	67
109961920	5ss	81
109962243	3ss	81
109962308	5ss	76
109964163	3ss	76
109964221	5ss	86
109967695	3ss	86
109967877	5ss	96
109968352	3ss	96
109968463	5ss	81
109971271	3ss	81
109971363	5ss	68
109972396	3ss	68
110011678	5ss	28
110012614	3ss	28
110012704	5ss	19
110012705	5ss	215
110013803	3ss	215
110013950	5ss	204
110017607	3ss	183
110017751	5ss	186
110019200	3ss	166
110019355	5ss	242
110023827	3ss	283
110023930	5ss	204
110024559	3ss	204
110024604	5ss	211
110028576	3ss	211
110028666	5ss	192
110029046	3ss	192
110029162	5ss	191
110029232	5ss	15
110029629	3ss	15
110029839	5ss	15
110030140	3ss	15
110031087	5ss	10
110031469	3ss	10
110032833	3ss	191
110032986	5ss	158
110033014	5ss	10
110033544	3ss	10
110034231	3ss	158
110036281	3ss	19
110036379	5ss	35
110037648	3ss	35
110037771	5ss	28
110045976	5ss	580
110048312	3ss	28
110048468	5ss	21
110053840	3ss	21
110053890	5ss	24
110056353	3ss	24
110056501	5ss	28
110059528	3ss	28
110059656	5ss	28
110062422	3ss	580
110062503	5ss	802
110062647	3ss	28
110062747	5ss	26
110064313	3ss	26
110064316	3ss	802
110064395	5ss	1609
110064475	5ss	28
110064878	3ss	28
110064975	5ss	34
110065945	5ss	12
110068660	3ss	1609
110068928	5ss	966
110073963	3ss	966
110074018	5ss	1037
110075103	5ss	31
110077748	3ss	31
110077790	5ss	56
110079431	3ss	56
110079488	5ss	77
110081033	3ss	1037
110081160	5ss	1084
110081453	3ss	34
110081586	5ss	31
110081970	3ss	77
110082047	5ss	80
110083294	3ss	31
110083410	5ss	47
110083864	3ss	80
110083964	5ss	90
110084264	3ss	1084
110084399	5ss	1088
110085140	3ss	47
110085185	5ss	41
110086171	3ss	1088
110086216	3ss	41
110086298	5ss	1047
110086364	5ss	35
110087115	3ss	1047
110087285	5ss	693
110087932	3ss	35
110088098	5ss	26
110091165	3ss	90
110091221	5ss	120
110091460	5ss	212
110091824	3ss	693
110092402	3ss	120
110092459	5ss	108
110096904	3ss	108
110098125	3ss	26
110098263	5ss	22
110106173	3ss	22
110106231	5ss	30
110107061	3ss	12
110107505	3ss	30
110107652	5ss	32
110110797	3ss	32
110110880	5ss	37
110112579	3ss	37
110112774	5ss	34
110113785	3ss	34
110113867	5ss	30
110116359	3ss	212
110116401	5ss	241
110116518	3ss	241
110116659	5ss	454
110117968	3ss	30
110118054	5ss	59
110121826	3ss	454
110121983	5ss	303
110125059	3ss	303
110125187	5ss	239
110128838	3ss	239
110128967	5ss	252
110129351	3ss	252
110129504	5ss	376
110134665	3ss	376
110134877	5ss	511
110134967	3ss	511
11013951	5ss	69
11014462	3ss	69
11014572	5ss	94
110146291	3ss	59
110152702	5ss	38
11015627	3ss	68
11015752	5ss	100
110162900	5ss	154
110163888	5ss	18
110167925	3ss	172
110168055	5ss	174
110168284	3ss	174
110168414	5ss	197
110168782	3ss	197
110168850	5ss	158
110168941	3ss	158
110169049	5ss	148
110169348	3ss	148
110169534	5ss	121
110169797	3ss	121
110169938	5ss	143
110170051	3ss	143
110170140	5ss	198
110170396	3ss	198
110170525	5ss	226
110170705	3ss	226
110170899	5ss	103
110170986	3ss	103
110171117	5ss	194
110171265	3ss	194
110171428	5ss	136
110171731	3ss	136
110171857	5ss	229
110171949	3ss	229
110172112	5ss	153
110172418	3ss	153
110172538	5ss	197
110172855	3ss	197
110173028	5ss	138
110173305	3ss	138
110173415	5ss	168
110173565	3ss	168
110181906	3ss	38
110182033	5ss	74
11018715	3ss	100
11018821	5ss	96
11019779	3ss	96
11019883	5ss	112
110199047	5ss	54
110199334	3ss	54
110199409	5ss	40
110199837	3ss	40
110199901	5ss	56
110200212	3ss	56
110200293	5ss	64
110200394	3ss	64
110200494	5ss	59
110201436	3ss	59
110201531	5ss	72
110201622	3ss	72
110201732	5ss	34
110203787	3ss	34
110205817	3ss	74
110210773	5ss	15
110211047	3ss	15
110211122	5ss	18
110211547	3ss	18
110211611	5ss	17
110211912	3ss	17
110214004	5ss	11
110214095	3ss	11
110214205	5ss	17
110217369	3ss	17
11021999	3ss	84
11022786	5ss	114
11022860	3ss	112
11022970	5ss	138
110230531	5ss	92
110230792	3ss	92
110230867	5ss	83
110231295	3ss	83
110231359	5ss	116
110231670	3ss	116
110231751	5ss	125
110231847	3ss	125
110231947	5ss	88
110232893	3ss	88
110232988	5ss	134
110233076	3ss	134
110233186	5ss	66
110235828	3ss	66
11024553	3ss	138
11024730	5ss	86
11027083	3ss	86
11027173	5ss	105
11027372	3ss	105
11027453	5ss	113
110301029	5ss	56
11030271	3ss	113
11030330	3ss	124
11030356	5ss	98
11030474	5ss	62
11030553	3ss	98
11030642	5ss	163
110306558	3ss	56
110306682	5ss	82
11031112	3ss	163
11031249	5ss	135
11031335	3ss	135
11031424	5ss	168
11031510	3ss	168
11031622	5ss	121
11031726	3ss	121
11031803	5ss	142
11032051	3ss	75
11032119	5ss	54
11032291	3ss	121
110327642	3ss	82
110327771	5ss	132
110333078	3ss	132
110338231	5ss	10
110340832	3ss	10
110341019	5ss	28
110341742	3ss	28
110341952	5ss	39
110342542	3ss	39
110342598	5ss	35
110344377	3ss	35
110344445	5ss	35
110345331	3ss	35
110345504	5ss	36
110346391	3ss	36
110346503	5ss	25
110346631	5ss	33
110346676	3ss	25
110346703	5ss	423
110346742	5ss	36
110348357	3ss	456
110348433	5ss	464
110348868	3ss	36
110349040	5ss	42
110350796	3ss	42
110350877	5ss	29
110351549	3ss	464
110351619	5ss	459
110352247	3ss	29
110352432	5ss	14
110352718	3ss	442
110352720	3ss	17
110352792	5ss	336
110353208	3ss	14
110353351	5ss	10
110354396	3ss	10
110355158	5ss	35
110355634	3ss	336
110384057	3ss	35
110384800	5ss	82
11038654	5ss	13
110394160	3ss	82
110394342	5ss	65
11039592	5ss	22
11039690	3ss	22
110402833	3ss	22
110402937	5ss	27
110412483	3ss	70
110412563	5ss	99
1104126	5ss	770
110415771	3ss	99
110416012	5ss	37
110427484	3ss	27
110427487	3ss	10
110427668	5ss	89
110428316	5ss	47
110430618	3ss	47
110430645	5ss	75
110431165	3ss	89
110431267	5ss	100
110432777	3ss	75
110432877	5ss	149
110433113	3ss	100
110433239	5ss	117
110434420	3ss	149
110434537	5ss	104
110434903	3ss	117
110435012	5ss	39
110436288	3ss	104
110436420	5ss	118
110437589	5ss	46
110437684	3ss	39
110437796	5ss	77
110438044	3ss	118
110438098	5ss	178
110439485	3ss	178
110439617	5ss	152
110439876	3ss	152
110440051	5ss	213
110440396	3ss	213
110440516	5ss	185
110440994	3ss	185
110441059	5ss	145
110441522	3ss	77
110441640	5ss	119
110441756	3ss	145
110441842	5ss	180
110442273	3ss	119
110442328	5ss	62
110442576	3ss	62
110442782	5ss	59
110442993	3ss	180
110443138	5ss	74
110445888	3ss	74
110445974	3ss	59
110446002	5ss	113
110446097	5ss	73
110446487	3ss	113
110446502	3ss	73
110446652	5ss	105
110446660	5ss	62
110446869	3ss	105
110446977	5ss	91
110447382	3ss	62
110447555	5ss	67
110448478	3ss	67
110448588	5ss	57
110448773	3ss	91
110448852	5ss	117
110449810	3ss	46
110449942	5ss	86
110450930	3ss	86
110451054	5ss	89
110451445	3ss	57
110451620	5ss	81
110452541	3ss	81
110452678	5ss	57
110453684	5ss	25
110453795	3ss	57
110453899	5ss	79
110454193	3ss	89
110454238	5ss	98
110454711	3ss	117
110454749	3ss	79
110454818	5ss	182
110454841	5ss	53
110456150	3ss	98
110456194	3ss	182
110456291	5ss	101
110456293	5ss	85
110456694	3ss	101
110456839	5ss	336
110456881	3ss	25
110456944	3ss	85
110457003	5ss	67
110457133	5ss	73
110458256	3ss	67
110458318	5ss	103
110459503	3ss	336
110459622	5ss	71
110459649	3ss	53
110459752	5ss	57
110459806	3ss	71
110459887	5ss	118
110459915	3ss	103
110460085	5ss	91
110460717	3ss	57
110461306	3ss	118
110461493	5ss	139
110461851	3ss	73
110461917	5ss	118
110462432	3ss	139
110463547	3ss	118
110463628	5ss	142
110464469	3ss	91
110464616	5ss	157
110465510	3ss	115
110465513	3ss	27
110465571	5ss	162
110465788	3ss	146
110466317	3ss	162
110466447	5ss	46
110466682	3ss	11
110466812	5ss	71
110467283	3ss	46
110467398	3ss	71
110467440	5ss	77
110467450	5ss	55
110467769	3ss	55
110467824	5ss	47
110468450	3ss	77
110468563	5ss	52
110471474	3ss	47
110471602	3ss	52
110471762	5ss	98
110474066	3ss	98
110474133	5ss	57
110475164	3ss	57
1104928	5ss	100
110501836	5ss	112
110514385	3ss	112
110514471	5ss	90
11051639	3ss	13
11051767	5ss	31
1105185	3ss	870
110522761	3ss	90
110522890	5ss	147
110527794	5ss	303
1105279	5ss	1335
110528709	3ss	147
110528792	5ss	192
110530287	3ss	192
110530426	5ss	301
110531910	3ss	301
110532006	5ss	135
110533336	3ss	135
110533475	5ss	126
11053374	3ss	62
110534289	3ss	126
110534363	5ss	60
11053533	5ss	121
110536489	3ss	60
1105365	3ss	1335
110536534	5ss	78
110538905	3ss	78
110539006	5ss	117
110540567	3ss	117
110540682	5ss	159
110540939	3ss	159
110541072	5ss	153
110547073	5ss	26
110547370	3ss	153
110547446	5ss	226
110550035	3ss	226
110550179	5ss	85
1105509	5ss	2166
110551157	3ss	85
110551656	3ss	329
110551767	5ss	218
110552690	5ss	36
110553836	3ss	218
110553979	5ss	302
110554984	3ss	302
110555084	5ss	188
110555519	3ss	188
110555621	5ss	282
110557385	3ss	282
110557479	5ss	371
110558047	3ss	371
110558153	5ss	134
110558966	3ss	134
110559082	5ss	236
110559289	3ss	236
110559352	5ss	175
110560117	3ss	175
110560205	5ss	296
110560568	3ss	296
110560638	5ss	366
110560995	3ss	366
110561089	5ss	216
110561174	3ss	216
110561272	5ss	390
110561673	3ss	390
110561741	5ss	396
110562170	3ss	396
110562248	5ss	381
110563039	3ss	36
11056312	3ss	31
110563136	5ss	61
110563353	3ss	381
110563473	5ss	376
110564296	3ss	376
11056445	5ss	38
110565329	5ss	24
1105657	3ss	2166
110565851	3ss	24
110566094	3ss	61
110566172	5ss	78
110566935	5ss	16
110566958	3ss	78
110567116	5ss	21
110569164	3ss	21
110569271	5ss	48
110570352	3ss	16
110570441	5ss	13
110572753	3ss	13
110572818	5ss	35
110573067	3ss	48
110573132	3ss	35
110573158	5ss	119
110573242	5ss	35
110574581	3ss	35
110574665	5ss	28
110576668	3ss	119
110577439	5ss	97
110580513	3ss	97
110580582	5ss	115
1105808	5ss	2336
110581187	3ss	28
110581305	3ss	115
110581350	5ss	20
110581379	5ss	109
110581794	3ss	109
110581928	5ss	62
110582017	3ss	62
110582137	5ss	49
110583257	3ss	49
110583325	5ss	70
110584158	3ss	70
110584264	5ss	73
110584356	3ss	73
110584483	5ss	84
110584758	3ss	20
110584853	5ss	22
110585550	5ss	10
110585710	3ss	84
110585892	5ss	105
110586261	3ss	105
110586478	5ss	108
110587462	3ss	108
110587527	5ss	109
110587637	3ss	109
110587700	5ss	118
110589302	3ss	118
110589373	5ss	136
110590164	3ss	136
110590238	5ss	162
110590394	3ss	162
110590491	5ss	79
110591734	3ss	79
110591860	5ss	42
110592082	3ss	42
110592182	5ss	62
110592965	3ss	62
110593031	5ss	88
110593578	3ss	88
110593682	5ss	117
110594305	3ss	117
110594509	5ss	96
110596287	3ss	96
110600724	3ss	22
110603738	3ss	10
110603898	5ss	10
110605599	3ss	10
1106141	3ss	220
1106180	3ss	14
110618376	5ss	32
1106241	3ss	2299
11062495	3ss	121
11062606	5ss	120
1106265	5ss	2685
110628725	3ss	32
110628853	5ss	12
1106293	5ss	329
11063018	3ss	38
110630422	3ss	12
110630511	5ss	19
11063166	5ss	38
1106377	3ss	12
1106399	3ss	2696
110641669	3ss	19
110643319	5ss	19
110643400	3ss	19
110643485	5ss	22
1106458	5ss	3329
110646976	3ss	22
110647021	5ss	21
11064982	3ss	38
11065087	5ss	16
1106539	3ss	3311
110655849	3ss	21
1106572	3ss	18
11066795	3ss	16
11066918	5ss	24
11068308	3ss	120
11068445	5ss	92
11071082	3ss	24
11071850	5ss	212
110720426	5ss	158
110720518	3ss	158
110720600	5ss	471
11072800	5ss	150
110729825	3ss	471
110729929	5ss	903
110734404	3ss	903
110734542	5ss	1027
110737534	5ss	22
11073773	3ss	150
110739092	3ss	22
110739246	5ss	78
110740157	3ss	78
110740216	5ss	66
11074022	5ss	180
110743503	3ss	66
11075267	3ss	92
11075413	5ss	232
11076045	3ss	232
110760797	3ss	1027
110760877	5ss	1346
11076315	5ss	124
110764195	3ss	1346
110764280	5ss	1341
110765358	3ss	1341
110765822	5ss	391
11076612	3ss	124
11076718	5ss	302
11076848	5ss	23
11076901	3ss	180
110770402	3ss	391
110770490	5ss	591
11077064	5ss	204
110770986	3ss	591
110771088	5ss	1005
110771817	3ss	1005
110771948	5ss	887
110777086	3ss	887
110777208	5ss	579
110777308	3ss	579
110777526	5ss	816
110778464	3ss	816
110778799	5ss	521
110780033	3ss	521
110780253	5ss	568
110781037	3ss	568
110781239	5ss	435
110782691	3ss	435
110782776	5ss	711
110783054	3ss	711
110783187	5ss	1172
110783806	3ss	1172
11078387	3ss	302
110783923	5ss	1011
110784006	3ss	1011
110784126	5ss	14
11078482	5ss	365
11078790	3ss	204
110788097	3ss	14
11078930	5ss	397
110791024	5ss	39
11080299	3ss	365
11080402	5ss	117
11080486	3ss	397
11080656	5ss	141
1108069	3ss	329
1108151	5ss	377
11082181	3ss	141
11082310	3ss	117
11082441	5ss	209
110830877	3ss	39
110831218	5ss	266
110837503	3ss	266
110837799	5ss	140
110840968	3ss	140
110841085	5ss	149
110845031	3ss	149
110845182	5ss	263
110852482	3ss	224
110862301	5ss	41
110863746	3ss	39
110863884	5ss	139
110864410	3ss	41
110864591	5ss	26
110864998	3ss	26
110866250	3ss	139
110866331	5ss	71
110866431	5ss	16
110882023	3ss	16
110882145	5ss	39
110883019	3ss	39
110883141	5ss	21
110884329	3ss	21
110884454	5ss	32
110884890	5ss	35
110885557	3ss	32
110885693	5ss	40
110888161	3ss	15
110888271	5ss	27
110888930	3ss	47
110890127	3ss	40
110890275	5ss	54
110895859	3ss	54
110895963	5ss	46
110897168	3ss	46
110897391	5ss	46
110901128	3ss	46
110901295	5ss	40
110901982	3ss	40
110902	5ss	18
110902131	5ss	19
110904578	3ss	19
110904697	5ss	43
110906823	5ss	61
110908900	3ss	43
110909016	5ss	26
110909740	3ss	26
110909865	5ss	24
110910883	3ss	61
110910923	5ss	84
110911198	3ss	71
110911260	5ss	69
110912047	3ss	69
11091239	3ss	209
11091407	5ss	237
110914403	3ss	24
110914525	5ss	21
110915889	3ss	21
110916036	5ss	21
110920835	3ss	21
110921002	5ss	11
110922883	3ss	84
110923004	5ss	77
110924130	3ss	77
110924259	5ss	65
110924339	3ss	65
110924522	5ss	33
110924527	5ss	12
110925360	3ss	12
110925522	5ss	49
110925661	3ss	11
110925666	3ss	33
110925748	5ss	125
110925778	5ss	10
110927824	3ss	125
110928193	3ss	49
110928331	5ss	89
110929308	3ss	10
110929386	5ss	14
110931115	3ss	89
110932358	3ss	14
11094622	5ss	18
11094797	3ss	148
11094800	3ss	64
11095049	5ss	224
11095949	3ss	224
11096081	5ss	186
110961502	5ss	14
110963323	3ss	14
11096865	3ss	186
11096931	3ss	23
110970673	5ss	11
110970842	3ss	11
110970998	5ss	15
110971413	3ss	15
110971533	5ss	10
11097269	5ss	194
110973623	3ss	10
110973655	5ss	10
110973753	3ss	10
11097581	3ss	194
11097679	5ss	363
11098342	3ss	363
11098600	5ss	174
11099993	3ss	174
11100119	5ss	190
11101418	3ss	211
11101468	5ss	166
11101591	3ss	192
11101712	5ss	174
11101826	3ss	190
11101999	5ss	209
11105504	3ss	209
11105677	5ss	377
111057761	5ss	21
111064167	3ss	21
111064297	5ss	11
111066572	3ss	11
11106889	3ss	377
11107056	5ss	262
11107170	3ss	262
11107220	5ss	189
11113705	3ss	189
11113835	5ss	242
11114016	3ss	242
11114073	5ss	231
11114182	5ss	35
111171	5ss	279
11118578	3ss	231
11118678	3ss	35
11118699	5ss	124
11118778	5ss	39
111196418	5ss	541
111208708	3ss	541
111208794	5ss	474
111210060	3ss	474
111210186	5ss	615
11121057	3ss	124
111211457	3ss	615
111211559	5ss	760
11121207	5ss	219
111213364	3ss	760
111213406	5ss	383
111213502	3ss	383
111213646	5ss	721
111213938	3ss	721
111214030	5ss	1083
111214113	3ss	1083
111214268	5ss	704
111214679	3ss	704
11123625	3ss	219
11123788	5ss	284
111274713	5ss	17
111276581	3ss	17
111279894	5ss	10
111280029	5ss	228
111280375	3ss	228
111280455	5ss	450
111281617	3ss	450
111281680	5ss	533
111281775	3ss	533
111281819	5ss	480
111283595	3ss	480
111283708	5ss	665
111286892	3ss	10
111286942	5ss	29
111287019	3ss	29
111287123	5ss	39
111287815	3ss	39
111287935	5ss	28
111288713	3ss	665
111289476	3ss	28
111289596	5ss	15
111290725	3ss	15
11129633	3ss	284
11129638	5ss	46
11129699	5ss	327
11130139	3ss	46
11130267	3ss	327
11130280	5ss	62
111303332	5ss	540
11130377	5ss	336
111306209	3ss	540
111306341	5ss	183
111310231	3ss	183
111310268	5ss	176
111312950	3ss	176
111312989	5ss	186
111318386	3ss	186
111318467	5ss	263
111320914	3ss	263
111320955	5ss	19
111320990	5ss	589
11132401	3ss	336
11132643	5ss	196
111329241	3ss	589
111329340	5ss	754
11132955	3ss	62
11133106	5ss	77
111332609	5ss	10
11133611	3ss	39
111336957	3ss	754
111336967	3ss	19
111337059	5ss	420
11133733	5ss	28
11134194	3ss	196
11134307	5ss	203
111345386	3ss	420
111345530	5ss	568
11134636	3ss	18
111346606	3ss	568
11135007	3ss	203
11135114	5ss	308
11135387	3ss	77
11135535	5ss	81
11136098	3ss	308
11136111	3ss	28
11136184	5ss	370
11136220	5ss	42
11136621	3ss	81
11136740	5ss	49
11136976	3ss	370
11137022	5ss	441
11137885	3ss	42
11137929	5ss	40
11138460	3ss	441
11138626	5ss	175
11139027	3ss	49
11139113	5ss	23
11139732	3ss	23
111398214	5ss	11
111409298	5ss	10
111409697	3ss	21
11141149	3ss	40
11141199	5ss	31
11141406	3ss	175
11141569	5ss	186
11142113	3ss	50
11142579	5ss	10
111427913	5ss	15
111430809	3ss	15
111430963	5ss	14
111431401	3ss	14
111431514	5ss	12
111434571	3ss	12
111436598	5ss	11
11143966	3ss	186
111441164	3ss	11
111441229	5ss	18
111441371	3ss	18
11144193	5ss	342
11144443	3ss	25
11144541	5ss	16
11144799	3ss	333
11144876	5ss	299
111451550	5ss	207
11145370	3ss	31
11145498	5ss	30
11145590	3ss	299
11145808	5ss	276
111471042	5ss	12
111473422	5ss	36
111474471	3ss	12
111480881	5ss	17
111482562	3ss	17
111486967	3ss	36
111487083	5ss	48
111491063	3ss	48
111491126	5ss	34
111493898	3ss	10
111494042	5ss	12
111496992	5ss	39
111497115	3ss	79
111497400	3ss	39
111497472	5ss	88
111497848	3ss	88
111498415	3ss	12
11150977	3ss	124
11151094	5ss	91
11151983	3ss	276
11152236	5ss	309
11152703	3ss	10
111527938	5ss	28
11152811	5ss	12
111540017	3ss	28
111540245	5ss	14
111543206	3ss	14
11154759	3ss	30
11154879	5ss	18
111558725	3ss	34
111558886	5ss	54
111564668	3ss	128
111564782	5ss	118
111571610	3ss	54
111571734	5ss	40
111572176	3ss	40
111572299	5ss	60
111573927	3ss	60
111574147	5ss	38
11157532	3ss	12
111575711	3ss	38
111575863	5ss	43
1115764	3ss	377
11157657	5ss	25
111580930	5ss	32
111582935	3ss	43
111583099	5ss	29
111583460	3ss	32
111583628	5ss	32
111585033	3ss	32
111585149	5ss	52
111587079	3ss	52
111590499	3ss	29
111590727	5ss	44
111591202	3ss	44
111591486	5ss	34
111591623	3ss	34
111591786	5ss	17
111592554	3ss	17
111592664	5ss	63
111593389	3ss	63
111593480	5ss	40
111594220	3ss	40
1115949	5ss	481
111602911	3ss	118
111604259	5ss	237
11162350	3ss	25
11162523	5ss	27
111632166	3ss	237
111632549	5ss	235
11163699	3ss	27
111637919	3ss	235
111638062	5ss	188
111639129	3ss	188
11163916	5ss	22
111639266	5ss	210
111651116	3ss	112
111651244	5ss	132
111658322	3ss	230
111658477	5ss	119
111659382	3ss	119
111659492	5ss	130
111664115	3ss	130
111664204	5ss	161
111667779	3ss	161
111667922	5ss	169
11167036	3ss	22
111671419	3ss	169
111671559	5ss	200
11167197	5ss	32
111672777	3ss	200
111672876	5ss	213
111677142	5ss	31
111680955	3ss	244
111681159	5ss	242
111682383	5ss	20
111682929	5ss	28
111685460	3ss	242
111685550	5ss	280
111686525	3ss	280
111686671	5ss	151
111688537	3ss	151
111688756	5ss	101
11168931	3ss	203
11168934	3ss	106
111690264	3ss	48
11169039	5ss	270
111690675	5ss	61
111692579	3ss	101
111692664	5ss	163
111693270	3ss	163
11169464	3ss	270
11169565	5ss	204
111696845	5ss	48
111697918	3ss	48
111697969	5ss	52
111698050	5ss	285
111698588	3ss	52
111698717	5ss	65
111700631	3ss	285
111700814	5ss	306
111701476	3ss	65
111701552	5ss	65
111701665	3ss	65
111701734	5ss	88
111701829	3ss	88
111702002	3ss	61
111702149	5ss	128
111703777	3ss	128
111703918	5ss	119
11170429	3ss	204
111705111	3ss	306
111705222	5ss	187
11170561	5ss	303
111705761	3ss	187
111705898	5ss	202
11170721	3ss	303
11170863	5ss	453
111709547	3ss	10
111710224	3ss	192
111717501	3ss	119
111717585	5ss	51
11172432	3ss	32
11172460	3ss	453
111724809	3ss	51
111724940	5ss	54
111725421	3ss	54
111725579	5ss	66
11172573	5ss	14
111726084	3ss	66
