D3_pos	ss	D3_reads
148683730	5ss	68
148684649	3ss	68
148685869	3ss	28
148685967	5ss	22
148686965	3ss	22
148687176	5ss	50
148689519	3ss	50
148689698	5ss	51
148691675	3ss	51
148691767	5ss	45
148695384	3ss	45
148695477	5ss	29
148695714	3ss	29
148695866	5ss	26
148697292	3ss	26
148697503	5ss	36
148699145	3ss	36
148699290	5ss	34
148699954	3ss	34
148700026	5ss	18
148702169	3ss	18
148702280	5ss	35
148709229	3ss	35
148709393	5ss	35
148709434	5ss	80
148711270	3ss	16
148711398	5ss	21
148711929	3ss	80
148712064	5ss	66
148712258	3ss	35
148712436	5ss	38
148714089	3ss	66
148714263	5ss	73
148714529	3ss	73
148714691	5ss	103
148715157	3ss	38
148715285	5ss	57
148719570	3ss	57
148725179	5ss	83
148727063	3ss	103
148727189	5ss	100
148727835	3ss	83
148727988	5ss	111
148729217	3ss	111
148729298	5ss	118
148730481	3ss	118
148737719	5ss	19
148741840	3ss	100
148742059	5ss	101
148742200	3ss	19
148742406	5ss	30
148743599	3ss	30
148743773	5ss	14
148744547	3ss	101
148745505	3ss	14
148745716	5ss	29
148746923	3ss	29
148747063	5ss	24
148747556	3ss	24
148761320	3ss	21
148761370	5ss	24
148761494	3ss	24
148761543	5ss	19
148779253	5ss	24
148782535	3ss	11
148789681	3ss	19
148789721	5ss	20
148792553	3ss	20
148792639	5ss	36
148795246	3ss	36
148795358	5ss	31
14880458	5ss	166
14880589	3ss	76
14880792	5ss	74
148808750	3ss	31
148808851	5ss	30
14881904	3ss	166
14881984	5ss	153
14882074	3ss	153
14882156	5ss	182
14882751	3ss	74
14882912	5ss	84
148835460	3ss	30
148835592	5ss	44
148840683	3ss	44
148841029	5ss	19
14884133	3ss	62
148844858	5ss	27
148846427	3ss	19
148846501	5ss	18
148847727	5ss	58
14884845	5ss	95
148848589	3ss	18
148848732	5ss	21
148851037	3ss	27
148851432	5ss	34
148852662	3ss	21
148852797	5ss	29
14885370	3ss	116
148853933	3ss	29
148854102	5ss	24
148854907	3ss	24
148855116	5ss	34
148855887	3ss	34
148856037	5ss	23
148857791	3ss	58
148858285	5ss	94
148858804	3ss	94
148858975	5ss	102
148859082	3ss	102
148859167	5ss	85
148861579	3ss	23
148861692	5ss	41
148863141	3ss	85
148863250	3ss	34
148863333	5ss	57
148863376	5ss	38
148863909	3ss	38
148864022	5ss	28
148864816	3ss	41
148865954	5ss	17
148867151	3ss	17
148867282	5ss	25
148868386	3ss	57
148868467	5ss	60
148869431	3ss	25
148871281	3ss	60
148871435	5ss	62
148872894	3ss	62
148873002	5ss	74
148873560	3ss	28
148873673	5ss	55
148875137	3ss	74
148875318	5ss	108
148875740	3ss	55
148876453	3ss	108
148876633	5ss	64
148877833	3ss	64
148878066	5ss	57
148879935	3ss	57
148880120	5ss	53
148880477	3ss	53
148880665	5ss	87
148881629	3ss	87
148881736	5ss	72
148884821	3ss	72
148885027	5ss	83
148885680	3ss	83
148885770	5ss	56
148889882	3ss	56
14889052	3ss	84
148892846	5ss	111
14889304	5ss	105
148895425	3ss	111
148895844	5ss	94
148903788	3ss	94
148903914	5ss	111
148904443	3ss	111
148904562	5ss	112
14890608	3ss	99
14890656	5ss	95
148907677	3ss	112
148907796	5ss	108
14890789	3ss	95
14890894	5ss	94
148909447	3ss	10
148909450	3ss	98
148909563	5ss	89
14891007	3ss	105
148910793	3ss	89
148910906	5ss	43
14891659	5ss	32
14891720	3ss	94
14891810	5ss	95
14891811	3ss	32
14891880	5ss	52
148920904	3ss	43
148928385	5ss	148
148931195	5ss	17
14893218	3ss	95
148932786	3ss	165
148932920	5ss	228
14893322	5ss	119
148933291	3ss	61
148933368	5ss	32
148936269	3ss	13
148936362	5ss	30
148936893	5ss	18
148942103	5ss	12
148942784	3ss	12
148943163	5ss	16
14894369	3ss	119
148943795	3ss	16
14894530	5ss	125
148947250	3ss	18
148947639	5ss	43
148947772	3ss	43
148947898	5ss	27
148949797	3ss	27
148949886	5ss	23
148950650	3ss	23
148951245	3ss	199
14896124	3ss	125
14896279	5ss	83
148964036	5ss	12
148964188	3ss	12
14897840	3ss	83
14897942	5ss	118
148990814	3ss	30
148990964	5ss	26
149089	3ss	21
14909082	3ss	118
14909294	5ss	137
14909735	3ss	137
14909908	5ss	112
149099783	3ss	26
149099905	5ss	18
14910845	3ss	52
14911000	5ss	76
14912596	3ss	112
14912666	5ss	90
14913430	3ss	76
14913516	5ss	82
14913527	3ss	90
1491383	5ss	173
14915206	3ss	82
14915360	5ss	97
149164	5ss	12
14918697	3ss	97
14918757	5ss	84
149192838	5ss	151
149193610	3ss	151
149193699	5ss	152
149205406	3ss	152
149205542	5ss	122
14920918	5ss	28
14921088	3ss	84
14921126	5ss	93
149215772	3ss	18
149216440	5ss	12
149216509	3ss	122
149216698	5ss	173
149220151	3ss	12
149220463	3ss	173
149221488	5ss	10
149225910	3ss	10
14923644	5ss	57
149267704	5ss	11
14926982	3ss	93
149270439	3ss	11
14927106	5ss	98
14929359	3ss	98
14929535	5ss	83
14930371	3ss	83
14930483	5ss	96
14932625	3ss	96
14932721	5ss	63
14933790	3ss	63
14933886	5ss	72
149340542	5ss	11
14934319	3ss	72
14934448	5ss	78
149357191	3ss	11
149357914	5ss	15
149359856	3ss	15
14936802	3ss	78
14936904	5ss	44
14937794	3ss	44
149380742	5ss	87
149384414	3ss	87
149384552	5ss	107
149386036	3ss	107
149386210	5ss	155
14938845	3ss	85
149389674	3ss	155
149390171	5ss	134
149391818	3ss	134
149391916	5ss	136
14939516	5ss	147
149398129	3ss	136
149398260	5ss	110
149402739	5ss	48
149403825	3ss	110
149404243	5ss	184
149406269	3ss	184
149406444	5ss	119
149406583	3ss	119
149406680	5ss	100
149410304	3ss	100
149410402	5ss	160
149412017	3ss	160
149412166	5ss	203
14941538	3ss	147
149416199	3ss	203
149416500	5ss	127
149416763	5ss	12
14941684	5ss	189
149416963	3ss	127
149417090	5ss	141
149417099	3ss	12
149417218	5ss	16
149417926	3ss	16
149418081	5ss	10
149418474	3ss	10
149419644	5ss	15
149419874	3ss	15
149420047	5ss	28
149420311	3ss	141
149420442	5ss	158
149420825	3ss	28
149420980	5ss	15
149421348	3ss	158
149421532	5ss	184
149421743	3ss	15
149421940	5ss	23
149422406	3ss	23
149422579	5ss	22
149422978	3ss	22
149423151	5ss	25
149425029	3ss	184
149425248	5ss	145
149425614	3ss	25
149426460	5ss	14
149427187	3ss	145
149427237	3ss	14
149427320	5ss	171
149427431	5ss	13
149427518	3ss	13
149428132	3ss	171
149428248	5ss	144
149429815	3ss	144
149430024	5ss	175
149431288	3ss	175
14943132	3ss	189
14943261	5ss	156
14944405	3ss	156
149447783	3ss	48
149447942	5ss	70
149501191	3ss	70
149501336	5ss	46
149511496	3ss	46
149511702	5ss	84
14951179	5ss	59
14951362	3ss	59
14951512	5ss	380
149519351	3ss	84
149519499	5ss	77
149520239	3ss	77
149520371	5ss	66
149522524	3ss	66
149522715	5ss	98
149526720	3ss	98
149526809	5ss	70
149528361	3ss	70
149528506	5ss	56
149528613	3ss	56
149528956	5ss	68
1495293	3ss	173
149531140	5ss	60
1495386	5ss	239
149539213	3ss	68
149539349	5ss	60
149541166	3ss	60
149541325	5ss	80
149542237	3ss	80
149542570	5ss	99
149543874	3ss	99
1495468	3ss	239
1495606	5ss	141
149563798	3ss	60
149563927	5ss	75
14956870	3ss	380
149570303	3ss	75
149570383	5ss	66
14957044	5ss	283
149571258	5ss	55
149572687	3ss	55
149572734	5ss	35
149575767	3ss	35
149575879	5ss	73
149576424	3ss	73
14958442	3ss	283
14958583	5ss	296
14958881	3ss	296
149589816	3ss	66
149589941	5ss	66
14959012	5ss	221
14960412	3ss	221
14960548	5ss	149
149613260	3ss	66
149613347	5ss	65
149619859	3ss	65
149619949	5ss	99
14962405	3ss	149
14962492	5ss	80
1496284	3ss	141
149629765	3ss	99
149629870	5ss	97
149638921	3ss	97
149639014	5ss	75
1496452	5ss	177
14965478	3ss	80
14965541	5ss	66
14966091	3ss	66
14966186	5ss	114
149677843	3ss	75
149677923	5ss	68
149678527	3ss	68
14968893	3ss	114
14969111	5ss	267
149691235	5ss	46
14969197	3ss	267
14969279	5ss	339
149699154	3ss	46
149700654	5ss	80
14970216	3ss	339
14970375	5ss	254
14970521	3ss	254
14970647	5ss	585
1497173	3ss	177
149718740	3ss	80
149718900	5ss	66
149719105	3ss	66
149719198	5ss	83
149720240	3ss	83
149720320	5ss	92
14972578	3ss	585
14972691	5ss	497
149730713	3ss	92
149737417	5ss	236
14973872	3ss	497
14973999	5ss	62
149740719	3ss	236
149740774	5ss	285
149743676	3ss	285
149743815	5ss	362
149745	3ss	12
149747407	3ss	362
149747480	5ss	314
149748279	3ss	314
149748465	5ss	242
149749092	3ss	242
149749165	5ss	238
149751569	3ss	210
149751799	5ss	153
149753737	3ss	181
149753949	5ss	203
14975401	3ss	62
149754180	3ss	203
149754374	5ss	208
149754517	3ss	208
149754726	5ss	175
149754902	3ss	175
149755117	5ss	229
149755284	3ss	229
14975542	5ss	42
149755472	5ss	264
149755645	3ss	264
149755893	5ss	230
149755986	3ss	230
149756183	5ss	228
149758468	3ss	228
149758605	5ss	340
149758792	3ss	340
149758971	5ss	241
149759095	3ss	241
149759295	5ss	219
149761139	5ss	20
149762625	3ss	38
149762735	5ss	17
149763301	3ss	10
14976451	3ss	42
149764962	3ss	20
149765034	5ss	40
14976534	5ss	107
149767056	3ss	40
149767150	5ss	51
149767465	3ss	188
149767651	5ss	256
149769450	3ss	256
149769586	5ss	246
149771107	3ss	154
149771220	5ss	180
149771520	3ss	272
149771739	5ss	226
149772268	3ss	174
149772271	3ss	52
149772353	5ss	234
149772935	3ss	234
149773115	5ss	319
149775845	3ss	319
149776405	5ss	275
149777917	3ss	275
149778014	5ss	299
149778585	3ss	299
149778633	5ss	219
149779373	3ss	219
14978229	3ss	107
149783062	3ss	51
149783172	5ss	72
14978339	5ss	402
149787511	3ss	72
149787612	5ss	52
149798504	5ss	10
149799187	3ss	10
149803537	5ss	12
14980618	3ss	402
149806353	3ss	12
149806457	5ss	13
149806828	3ss	13
149806976	5ss	11
14980719	5ss	486
149807416	3ss	52
149807499	5ss	46
149809438	5ss	21
149809742	3ss	46
149809891	5ss	58
149814156	3ss	58
149814344	5ss	52
149818189	3ss	52
149818374	5ss	78
149818485	3ss	11
149826294	3ss	78
149826500	5ss	33
149828137	3ss	33
149828229	5ss	24
149828844	3ss	24
149828957	5ss	18
14982953	3ss	486
149830025	5ss	17
14983072	5ss	220
149831906	3ss	18
149832082	5ss	57
149835436	3ss	17
149835504	5ss	19
149837869	3ss	19
149838075	5ss	15
149839901	3ss	57
149840134	3ss	15
149855023	5ss	11
149856937	3ss	11
149857038	5ss	12
149857236	3ss	12
149861978	5ss	11
149864477	3ss	11
149865586	5ss	42
149867773	5ss	21
149887097	3ss	21
149887172	5ss	26
149887670	5ss	66
14988855	3ss	220
14988947	5ss	332
149893421	3ss	66
149893480	5ss	62
149893643	3ss	62
14989371	3ss	332
149893739	5ss	108
14989413	5ss	32
149895687	3ss	26
149895781	5ss	40
149896156	3ss	40
149896263	5ss	52
149898581	3ss	52
149898682	5ss	33
149898997	3ss	33
149899080	5ss	16
149899942	3ss	16
149899958	3ss	108
149900091	5ss	40
149900109	5ss	128
149900430	3ss	42
149900970	3ss	128
149901014	3ss	40
149901126	5ss	149
149901202	5ss	50
149901329	5ss	91
149901729	3ss	149
149901859	5ss	122
149903576	3ss	122
149903739	5ss	107
149905067	3ss	50
149905252	5ss	33
149905714	3ss	33
149905920	5ss	36
149907366	3ss	91
149907860	5ss	143
149911863	3ss	107
149912507	3ss	143
149912594	5ss	146
149912833	3ss	36
149912925	5ss	31
149914429	3ss	146
149914583	5ss	104
149915262	3ss	104
149915447	5ss	150
149918790	3ss	150
149918918	5ss	108
149919202	3ss	31
149919315	5ss	20
149919644	3ss	108
149919826	5ss	105
149921132	3ss	105
149921228	5ss	116
149922410	3ss	116
149922533	5ss	71
149924161	3ss	20
149924337	5ss	16
149924874	3ss	71
149925048	5ss	84
149927780	3ss	84
149927950	5ss	107
149929240	3ss	107
149929349	5ss	132
149931038	3ss	16
149931315	3ss	132
149931417	5ss	115
149932775	3ss	115
15000703	5ss	13
15001043	3ss	13
150020416	5ss	32
150020649	5ss	261
150022930	3ss	261
150023099	5ss	470
150025724	3ss	52
150027506	3ss	32
150033476	5ss	10
150033807	3ss	418
15003999	5ss	12
150040007	5ss	73
150040687	3ss	73
150040821	5ss	81
150044233	3ss	81
150044293	5ss	46
150045863	3ss	10
150046515	3ss	21
150048311	3ss	46
150048390	5ss	61
150048994	3ss	61
150049062	5ss	64
150049172	3ss	64
150049309	5ss	79
150049747	3ss	79
150049857	5ss	90
150053424	3ss	90
150053558	5ss	62
150053966	3ss	62
150054079	5ss	71
150054800	3ss	71
150054967	5ss	79
150064031	3ss	79
150064189	5ss	84
150064396	3ss	84
150064503	5ss	96
150065623	3ss	96
150065744	5ss	76
150066030	5ss	149
150066102	5ss	20
150066760	3ss	89
150066957	5ss	123
150067849	3ss	74
150067973	5ss	69
150068317	3ss	181
150068320	3ss	17
150071092	5ss	653
150076481	5ss	19
150082611	3ss	76
150082742	5ss	70
150085510	3ss	19
150085589	5ss	26
150092298	3ss	653
150092402	5ss	479
150093601	3ss	26
150094274	3ss	479
150094305	5ss	402
150111090	3ss	402
150111194	5ss	615
150114685	3ss	615
150114805	5ss	769
150116887	3ss	70
150117551	3ss	769
150117636	5ss	864
150121976	5ss	11
150122477	5ss	39
150123102	3ss	50
150123248	5ss	93
150123336	3ss	864
150123505	5ss	264
150123552	5ss	176
150128260	3ss	93
150128400	5ss	134
150129095	5ss	59
150129105	3ss	134
150129209	5ss	123
150129579	3ss	123
150129680	5ss	123
150131014	3ss	123
150131752	3ss	440
15014244	5ss	10
15014655	3ss	10
150151849	5ss	85
150154068	3ss	85
150154222	5ss	350
150154524	3ss	350
150154663	5ss	346
150155601	3ss	346
150155775	5ss	287
150156250	3ss	287
150158534	5ss	32
15016613	5ss	16
150174863	3ss	59
150174914	5ss	53
150174992	3ss	32
15017512	3ss	16
150176163	3ss	53
15018009	5ss	10
15018362	3ss	10
15018495	5ss	12
15019590	3ss	12
15023278	5ss	11
15023377	3ss	11
15024932	5ss	11
150263293	5ss	20
15026428	3ss	11
150264617	5ss	120
15026598	5ss	24
150266318	5ss	172
150266445	3ss	20
150266708	5ss	13
150266755	3ss	172
15026685	3ss	24
150266869	5ss	449
150267508	3ss	13
150267789	5ss	10
15026828	5ss	13
150268456	3ss	10
150268587	5ss	10
15026923	3ss	13
150269859	3ss	10
150270143	3ss	120
150270212	5ss	205
15027133	5ss	10
15027224	3ss	10
150276175	3ss	205
150276249	5ss	220
150280329	3ss	220
150280447	5ss	370
150280482	3ss	449
150281302	3ss	370
150281401	5ss	256
150282086	3ss	256
150282168	5ss	215
150285480	3ss	215
150285553	5ss	249
150285689	3ss	249
150285833	5ss	326
150285963	3ss	326
150286079	5ss	292
150289745	3ss	292
150290316	5ss	364
15029254	5ss	15
150293436	3ss	364
150293549	5ss	442
150294041	5ss	65
150297353	3ss	65
150297545	5ss	121
150298209	3ss	121
150298339	5ss	158
150299405	3ss	442
150299533	5ss	336
150300111	5ss	11
150300779	3ss	169
150300925	5ss	161
150300987	3ss	336
150301052	5ss	387
150301633	3ss	387
150305155	3ss	161
150305238	5ss	173
150305450	3ss	173
150305670	5ss	199
150307406	3ss	199
150307712	5ss	172
150310636	3ss	172
150310802	5ss	166
150312874	3ss	166
150312953	5ss	178
15031422	3ss	15
150315785	3ss	178
150315928	5ss	191
150316638	3ss	191
150316737	5ss	148
150316910	3ss	148
150317023	5ss	114
150318494	3ss	114
150318612	5ss	170
150318884	3ss	170
150318967	5ss	170
150321286	5ss	197
150321633	3ss	170
150321694	5ss	139
150325309	3ss	139
150337395	5ss	76
150340172	3ss	197
150340282	5ss	257
150340830	3ss	257
150340956	5ss	249
150342599	3ss	249
150342686	5ss	300
150344797	3ss	300
150344950	5ss	307
150345446	3ss	307
150390072	3ss	76
150390201	5ss	58
150400302	5ss	188
150404901	3ss	188
150405054	5ss	238
150406461	3ss	238
150406578	5ss	280
150406993	3ss	280
150407092	5ss	265
150407470	3ss	265
150413399	3ss	58
150413499	5ss	81
150414357	3ss	70
150414434	5ss	61
150415707	3ss	72
150415759	5ss	87
150416727	3ss	87
150416853	5ss	82
150418702	3ss	82
150418877	5ss	70
150429764	3ss	70
150430046	5ss	70
150432536	3ss	70
150432793	5ss	88
150437003	3ss	88
150437203	5ss	75
150443037	3ss	75
15045383	3ss	44
15045493	5ss	75
150459992	5ss	74
150460334	3ss	74
150460530	5ss	55
15046064	3ss	18
15046120	5ss	17
150461440	3ss	55
150461563	5ss	81
150463077	3ss	81
150463201	5ss	79
150463870	3ss	79
150463987	5ss	80
150464074	3ss	80
150464138	5ss	86
150464887	3ss	86
150464965	5ss	88
150468958	3ss	70
150469104	5ss	91
150469286	3ss	91
150469384	5ss	83
150470006	3ss	101
150470223	5ss	149
150470978	3ss	149
150471140	5ss	101
150471373	3ss	101
150471510	5ss	109
150471692	3ss	109
150471769	5ss	113
150476811	3ss	113
150476911	5ss	62
150477108	3ss	62
150477209	5ss	51
150477382	3ss	51
150477454	5ss	48
150478067	3ss	48
150478181	5ss	107
150479392	3ss	107
150522371	5ss	10
150524681	3ss	10
150524784	5ss	10
150525019	3ss	10
150525729	5ss	28
150525902	3ss	28
150526598	5ss	34
150526841	3ss	34
150526943	5ss	35
150527905	3ss	35
150528041	5ss	54
150528638	3ss	54
150528842	5ss	19
150529097	3ss	19
150529269	5ss	16
150529415	3ss	16
150529526	5ss	16
150529626	3ss	16
150529811	5ss	14
150529970	3ss	14
150530099	5ss	19
150530421	3ss	19
150530625	5ss	21
150530949	3ss	21
150531125	5ss	20
150531438	3ss	20
150531641	5ss	30
150531763	3ss	30
150531942	5ss	34
150532237	3ss	34
150532381	5ss	49
150532536	3ss	49
15054208	5ss	11
15055096	3ss	74
15055296	5ss	67
15055752	3ss	11
15055841	5ss	11
150565833	5ss	87
150572103	3ss	87
150572212	5ss	97
150573388	3ss	97
15057659	3ss	67
15057761	5ss	68
15060045	3ss	11
15062260	3ss	68
15062439	5ss	109
150632858	5ss	109
150639316	3ss	109
150639477	5ss	117
150646292	3ss	117
150646474	5ss	102
150646857	3ss	102
15064707	3ss	109
15064854	5ss	87
15065622	3ss	87
15065715	5ss	107
15069077	5ss	211
15070093	3ss	107
15070226	5ss	84
15071782	3ss	84
15071959	5ss	89
150725697	5ss	69
150730692	3ss	69
150731004	5ss	61
150731360	3ss	61
150731515	5ss	123
150731592	3ss	123
150731686	5ss	112
150731811	3ss	112
150731916	5ss	72
150732668	3ss	72
150732829	5ss	82
150732969	3ss	82
150733054	5ss	76
150733160	3ss	76
150733257	5ss	58
150733631	3ss	58
150733736	5ss	61
150734328	3ss	16
150737355	3ss	45
150737388	5ss	52
150737585	3ss	52
150737721	5ss	61
150737915	3ss	61
150738009	5ss	74
150738186	3ss	74
150738319	5ss	48
15073886	3ss	89
150739048	3ss	48
150739195	5ss	44
15074007	5ss	106
150741058	3ss	44
150741308	5ss	56
150742296	3ss	56
150756849	5ss	245
150759012	3ss	245
150759125	5ss	328
150759750	5ss	156
150760276	5ss	32
150761289	3ss	516
150761454	5ss	721
150761613	3ss	721
15076177	3ss	106
150761854	5ss	732
150761935	3ss	732
150762053	5ss	184
15076316	5ss	75
150763604	3ss	184
150763848	5ss	492
150763938	3ss	492
150764080	5ss	491
150764961	3ss	491
150765141	5ss	730
150767034	3ss	730
150767169	5ss	569
150767268	3ss	569
150767433	5ss	761
150767544	3ss	761
150767658	5ss	609
150767814	3ss	609
150767998	5ss	610
150768159	3ss	610
150768384	5ss	517
150768477	3ss	501
150768692	5ss	607
150768776	3ss	623
150768924	5ss	549
150769029	3ss	549
150769223	5ss	626
150771126	3ss	626
150771380	5ss	670
150771486	3ss	670
150771575	5ss	607
150771762	3ss	607
150771928	5ss	524
150772342	3ss	524
150772595	5ss	398
150772693	3ss	398
150772862	5ss	698
150773100	3ss	698
150773273	5ss	860
150773374	3ss	860
150784159	5ss	161
15079507	3ss	75
15079644	5ss	60
15080629	3ss	60
15080734	5ss	85
150813880	3ss	161
150813938	5ss	172
150814182	3ss	172
150814269	5ss	170
150814458	3ss	170
150814543	5ss	128
150814723	3ss	128
150814864	5ss	152
150815297	3ss	152
150815431	5ss	111
150815592	3ss	111
150815719	5ss	154
150817074	3ss	154
150817232	5ss	105
150819812	3ss	32
150820881	3ss	73
150820973	5ss	82
150825667	3ss	82
150825771	5ss	80
150827374	5ss	13
150831487	3ss	80
150831655	5ss	90
150835230	3ss	57
150835400	5ss	38
150837066	3ss	38
150837203	5ss	55
150838349	3ss	13
150838496	5ss	26
150838985	3ss	88
150839139	5ss	93
150839250	3ss	93
150839340	5ss	79
150839499	3ss	79
150839721	5ss	139
150840428	3ss	139
150840683	5ss	77
150840824	3ss	77
150843114	3ss	26
15084341	3ss	85
150844730	5ss	15
150846760	3ss	15
150846844	5ss	24
150847268	3ss	24
150847486	5ss	20
150853234	3ss	20
150853332	5ss	35
150856151	3ss	35
150856317	5ss	34
150858881	3ss	34
150859050	5ss	12
150867544	3ss	12
150898993	5ss	95
150900180	3ss	95
150900450	5ss	117
150902443	3ss	117
150902594	5ss	99
150912416	3ss	99
150912450	5ss	112
150913805	3ss	112
150913904	5ss	139
150915039	3ss	139
150915164	5ss	119
150915328	3ss	119
150915529	5ss	103
15091610	3ss	211
150916396	3ss	103
150916469	5ss	140
15091683	5ss	226
150917394	3ss	140
150917584	5ss	83
150919362	3ss	83
150919488	5ss	95
150921598	3ss	95
150921754	5ss	99
150921843	3ss	82
150921846	3ss	17
15092197	3ss	226
150922001	5ss	94
15092262	5ss	320
150922934	3ss	94
150923566	5ss	101
150923841	3ss	101
150923957	5ss	94
150931360	5ss	123
150931654	3ss	94
150931823	5ss	63
150932134	3ss	123
150932698	5ss	99
150933039	3ss	63
150933494	3ss	99
150933667	5ss	46
150933676	5ss	79
150934460	3ss	79
150934606	3ss	46
150934634	5ss	66
150935063	3ss	66
150935195	5ss	112
150935450	3ss	112
150935615	5ss	82
150936006	3ss	82
150936217	5ss	95
150936471	3ss	95
150936559	5ss	93
150936723	3ss	93
150954855	5ss	79
150954963	3ss	79
150955059	5ss	71
150955566	3ss	71
150955656	5ss	71
150955814	3ss	71
150955910	5ss	68
15095633	3ss	275
150956451	3ss	68
150956545	5ss	61
150956757	3ss	61
150956870	5ss	65
150957062	3ss	65
15095713	5ss	211
150957152	5ss	61
150958812	3ss	61
150958891	5ss	70
150959078	3ss	70
150959137	5ss	66
150960348	3ss	66
150960432	5ss	55
150960567	3ss	55
150960662	5ss	63
150960759	3ss	63
150960817	5ss	58
150967053	3ss	58
150967175	5ss	54
150967736	3ss	54
150971922	5ss	18
15098044	3ss	256
150981147	5ss	46
15098190	5ss	195
150990288	3ss	46
150990380	5ss	25
150990943	3ss	14
150991145	5ss	19
150997087	3ss	30
150997271	5ss	63
150997991	3ss	63
150998149	5ss	61
150999709	3ss	61
150999803	5ss	27
151001262	3ss	27
151001420	5ss	52
15100251	3ss	195
15100440	5ss	396
151006282	3ss	52
151021328	5ss	11
151022914	3ss	11
15102636	3ss	396
15102704	5ss	344
151033029	5ss	241
15103538	3ss	344
15103616	5ss	162
151038932	5ss	34
151039695	3ss	241
151042434	3ss	34
151042552	5ss	134
151046159	3ss	134
151046326	5ss	136
151048510	3ss	136
151048568	5ss	151
151049898	3ss	151
151049968	5ss	132
151052854	3ss	132
151053036	5ss	227
151053214	3ss	227
151053308	5ss	175
151054720	3ss	18
151055228	5ss	38
151057227	3ss	175
151057333	5ss	122
151058000	5ss	18
151058145	3ss	18
151064025	3ss	122
151064211	5ss	138
151064947	3ss	138
151065054	5ss	126
151065821	3ss	126
151065973	5ss	110
151071183	3ss	110
151071287	5ss	102
151072934	3ss	102
151073029	5ss	129
151073720	3ss	129
151073897	5ss	151
151074133	3ss	151
151089774	3ss	38
151089874	5ss	40
15109986	3ss	162
15110070	5ss	89
151107526	3ss	40
151107595	5ss	54
15110977	3ss	89
15111025	5ss	165
15111178	3ss	165
15111279	5ss	350
151116992	3ss	54
151117038	5ss	53
151121855	3ss	53
151122005	5ss	61
151125746	3ss	61
151125877	5ss	47
15112697	3ss	350
15112822	5ss	320
151130241	3ss	47
151130423	5ss	41
151130517	3ss	41
151130612	5ss	63
151130784	3ss	63
151130870	5ss	61
151138679	5ss	182
151138728	5ss	15
151138947	3ss	197
151139017	5ss	218
151139319	3ss	61
151139352	5ss	56
151139410	3ss	218
151139498	5ss	161
151139597	3ss	161
151139694	5ss	202
151139802	3ss	202
151139890	5ss	148
151140620	3ss	148
151140814	5ss	223
151140815	3ss	56
151140910	5ss	70
151141462	3ss	223
151142331	3ss	70
151142369	5ss	48
151144790	3ss	48
151151597	5ss	574
151152229	5ss	11
151153341	5ss	39
151160969	3ss	39
15116561	3ss	320
15116611	5ss	360
151166133	3ss	414
151166164	3ss	171
151166276	5ss	742
151169884	3ss	742
151169965	5ss	1018
151170450	3ss	1018
151170623	5ss	661
151171557	5ss	178
151173720	3ss	661
151173810	5ss	778
151175040	3ss	778
151175136	5ss	1062
151176788	3ss	1062
151176989	5ss	1081
151178773	3ss	1081
151178874	5ss	1188
151179450	3ss	1188
151179561	5ss	1062
151179779	3ss	1062
151179907	5ss	766
151180321	3ss	766
151180430	5ss	784
151183446	3ss	784
151187185	5ss	82
151196721	3ss	67
151196724	3ss	111
151196755	5ss	171
151197226	3ss	82
151197310	5ss	179
151198770	3ss	179
151198820	5ss	234
151198909	3ss	234
151198962	5ss	229
151199796	3ss	171
151199876	5ss	155
151203898	3ss	229
151204022	5ss	263
151204147	3ss	155
151204277	5ss	217
151204724	3ss	217
151204841	5ss	217
15120500	3ss	360
151205027	3ss	217
151205179	5ss	171
15120563	5ss	416
151206673	3ss	171
151206770	3ss	263
151206870	5ss	146
151206972	5ss	133
151208978	3ss	80
151208981	3ss	66
151209034	3ss	133
151209117	5ss	232
151209239	5ss	185
151210658	3ss	185
151210741	5ss	109
151211606	3ss	109
151211654	5ss	152
151212431	3ss	152
151212515	5ss	227
151214599	3ss	227
151214745	5ss	167
151214914	3ss	167
151215043	5ss	176
151219396	3ss	176
151219441	5ss	204
151219996	3ss	49
151220339	3ss	204
151226786	3ss	183
151226897	5ss	148
151227284	5ss	634
15122735	3ss	416
15122823	5ss	314
151231697	5ss	11
151234637	3ss	612
151234777	5ss	1249
151236390	3ss	1270
151236504	5ss	1771
151237308	3ss	1783
151237394	5ss	1580
151237642	3ss	1570
151237710	5ss	1364
151237870	3ss	1374
15123808	3ss	314
151238085	5ss	758
151238480	3ss	758
151238588	5ss	891
151238597	5ss	53
151238784	3ss	944
151238915	5ss	1370
151238996	3ss	1370
151239063	5ss	1175
15123913	5ss	329
151239649	3ss	1175
151239713	3ss	148
151239804	5ss	135
151243341	3ss	135
151243438	5ss	130
151247258	3ss	130
151247431	5ss	150
151254871	5ss	18
15125592	3ss	329
15125763	5ss	307
151257940	3ss	150
151258076	5ss	162
151258751	3ss	18
151259835	3ss	162
151259881	5ss	146
151260882	5ss	52
151261004	3ss	52
151261182	5ss	50
151261571	3ss	50
151261747	5ss	75
151261854	3ss	75
151262016	5ss	79
151262154	3ss	79
151262483	5ss	66
151262598	3ss	66
151262710	5ss	39
151262908	3ss	39
151263049	5ss	43
151263191	3ss	43
151265622	3ss	146
151265729	5ss	118
151266603	3ss	118
151266677	5ss	129
15126718	3ss	307
15126836	5ss	293
151270167	3ss	129
151270269	5ss	130
15127135	3ss	293
15127256	5ss	286
151277131	3ss	130
