pUC57_pos	ss	pUC57_reads
131202440	3ss	208
131202597	5ss	232
131203506	3ss	232
131203691	5ss	285
131205097	3ss	285
131205245	5ss	499
131206296	3ss	499
131206389	5ss	277
131206841	3ss	277
131206903	5ss	335
131206985	3ss	335
131207121	5ss	530
131208163	3ss	530
131218534	5ss	93
131221846	3ss	93
131221936	5ss	178
131222792	3ss	164
131222829	3ss	14
131222945	5ss	135
131223221	3ss	135
131223289	5ss	14
131223346	5ss	53
131231462	3ss	67
131231632	5ss	122
131233587	3ss	122
131233747	5ss	131
131235192	3ss	131
131235321	5ss	116
131235889	3ss	116
131236020	5ss	129
131243859	3ss	129
131243930	5ss	69
131245095	3ss	69
131245166	5ss	59
131246217	3ss	59
13124631	3ss	120
131246333	5ss	127
131246980	3ss	127
131247165	5ss	143
131247644	3ss	143
131247753	5ss	156
131250169	3ss	156
131250304	5ss	140
131254705	3ss	140
131254815	5ss	78
131254980	3ss	78
131255084	5ss	68
131256789	3ss	68
131256947	5ss	85
131258320	3ss	85
131258420	5ss	100
131260692	3ss	100
131260854	5ss	91
131261280	3ss	91
131261405	5ss	109
131262346	3ss	109
131265560	5ss	27
131267183	5ss	82
131269495	3ss	30
131269619	5ss	35
131271155	3ss	87
131271376	5ss	100
131277808	3ss	100
131277918	5ss	140
131284947	3ss	140
131285095	5ss	119
131285559	3ss	119
131285619	5ss	81
131285871	3ss	81
131286125	5ss	65
131287471	3ss	65
131287702	5ss	71
131289458	3ss	71
131289570	5ss	72
131289735	3ss	72
131289804	5ss	85
131295792	3ss	85
131295934	5ss	81
131296040	3ss	81
131296230	5ss	78
131298634	3ss	78
131298763	5ss	93
131300265	3ss	93
131300369	5ss	60
131301895	3ss	60
131301977	5ss	103
131302554	3ss	103
131302617	5ss	159
131303381	3ss	159
131314975	5ss	266
13132556	5ss	22
131329017	3ss	266
131329256	5ss	467
13132934	3ss	22
131331051	3ss	467
131331176	5ss	462
131334505	3ss	27
131334641	5ss	51
131336954	3ss	462
131337094	5ss	359
131337478	3ss	359
131337624	5ss	556
131339102	3ss	556
131339235	5ss	530
131339408	3ss	530
131339552	5ss	401
131339631	3ss	401
131339785	5ss	301
131340389	3ss	301
131340524	5ss	245
131341916	3ss	245
131342017	5ss	271
131343201	3ss	271
131343338	5ss	388
131344061	3ss	388
131344171	5ss	320
131344758	3ss	320
131344835	5ss	295
131344973	3ss	295
131345128	5ss	422
131345356	3ss	422
131345560	5ss	507
131346067	3ss	507
131346248	5ss	538
13134650	3ss	67
131346561	3ss	538
131346804	5ss	512
131347000	3ss	512
131347122	5ss	372
13134785	5ss	72
131348027	3ss	372
131348244	5ss	367
131349885	3ss	367
131349977	5ss	515
131351088	3ss	515
131351222	5ss	422
131353756	3ss	422
131353904	5ss	353
131355262	3ss	76
131355321	5ss	73
131356454	3ss	350
131356652	5ss	388
131356671	5ss	872
131357129	3ss	846
131357174	5ss	1588
131357381	3ss	1614
131357465	5ss	3434
131357548	3ss	3434
131357673	5ss	3074
131359091	3ss	3074
131359278	5ss	4877
131360157	3ss	4877
131360327	5ss	2276
131360427	3ss	2276
131360679	3ss	388
131360783	5ss	329
131361242	3ss	329
131361265	5ss	275
131362359	3ss	275
131362394	5ss	304
13136366	5ss	12
131365822	3ss	304
131365869	5ss	247
131366605	3ss	247
131366696	5ss	327
131367313	3ss	327
131367457	5ss	204
131367575	3ss	204
131367756	5ss	521
131369883	3ss	521
131369982	5ss	449
131370131	3ss	449
131370328	5ss	304
131370409	3ss	304
131370555	5ss	408
131371153	3ss	408
131371256	5ss	462
131371401	3ss	462
131371563	5ss	482
131373993	3ss	482
131374124	5ss	546
131374388	3ss	546
131374525	5ss	306
131375660	3ss	306
131375764	5ss	507
131377911	3ss	507
131378119	5ss	329
131379919	3ss	329
131380039	5ss	314
131380266	3ss	314
131380387	5ss	428
131381150	3ss	428
131381282	5ss	419
131383437	3ss	419
131383535	5ss	310
131386607	3ss	310
131386766	5ss	370
131387382	3ss	370
131387458	5ss	470
131388048	3ss	470
131388257	5ss	281
131388670	3ss	281
131388966	5ss	316
131389665	3ss	316
131389777	5ss	30
131390221	5ss	276
131392600	3ss	306
131392654	5ss	524
131394406	3ss	524
131394602	5ss	324
131394710	3ss	324
131394763	5ss	394
131394851	3ss	394
131394997	5ss	323
131395087	3ss	323
131395234	5ss	574
131395488	3ss	574
13140650	3ss	72
13140779	5ss	66
13142302	5ss	179
131439076	5ss	17
131439169	3ss	17
131439205	5ss	13
131446286	5ss	400
131451008	3ss	13
131451091	5ss	16
131451934	5ss	2021
131453449	3ss	2421
131453506	5ss	2638
131453522	3ss	16
131453617	5ss	19
13145401	3ss	66
131454137	3ss	2638
131454279	5ss	2525
131454941	3ss	2525
131455044	5ss	1499
131455147	3ss	1499
131455260	5ss	3803
131455917	3ss	3785
131456003	3ss	19
131456087	5ss	6918
131456125	5ss	30
131456175	3ss	6936
131456321	5ss	1558
131456920	3ss	1558
131466429	3ss	30
131466556	5ss	27
131468158	5ss	21
131468992	3ss	21
131469103	5ss	38
131469175	3ss	38
131469302	5ss	33
131469501	3ss	33
131469684	5ss	25
131471894	5ss	30
131475331	3ss	25
131475477	5ss	37
131475557	3ss	37
131475559	3ss	30
131475623	5ss	33
131475666	5ss	53
131475778	3ss	53
131475921	5ss	16
131476325	3ss	16
131476400	5ss	52
131476476	3ss	52
131476644	5ss	65
131476782	3ss	33
131476841	3ss	65
131476943	5ss	63
131477077	3ss	63
131477144	5ss	50
131477451	3ss	50
131477514	5ss	59
131477648	3ss	59
131477739	5ss	29
131479026	3ss	29
131479202	5ss	31
131480604	3ss	31
131480666	5ss	21
131480828	3ss	21
131480904	5ss	58
131481199	3ss	27
131481338	5ss	15
131481965	3ss	58
131482107	5ss	24
131482189	3ss	24
131482296	5ss	23
131482482	3ss	23
131482562	5ss	48
131482673	3ss	48
131484987	5ss	11
131486221	3ss	15
131486357	5ss	12
131486914	5ss	39
131487730	3ss	11
131487847	5ss	31
131488731	3ss	31
131488841	5ss	12
131490253	3ss	12
131490413	5ss	11
131490517	3ss	12
131490592	5ss	41
131495121	3ss	39
131498744	3ss	41
131498885	5ss	12
13150138	3ss	17
13150289	5ss	35
131506159	3ss	51
131506307	5ss	48
13151112	3ss	197
13151288	5ss	192
131520601	3ss	11
13152274	3ss	192
13152476	5ss	220
131540948	5ss	16
13154453	3ss	220
13154635	5ss	164
131550686	5ss	25
131553014	3ss	25
131553054	5ss	29
131553659	3ss	29
131553720	5ss	34
131553873	3ss	34
131553972	5ss	42
131554771	3ss	42
131554853	5ss	35
131557466	3ss	48
131557605	5ss	98
131559334	3ss	35
131559493	5ss	37
131561346	3ss	12
131561419	5ss	22
131565052	3ss	98
131565529	3ss	37
131565739	5ss	49
131566235	3ss	49
131566398	5ss	33
131568138	3ss	33
131568298	5ss	21
131568533	3ss	21
131568590	5ss	13
131569085	3ss	22
131570093	3ss	13
131571756	5ss	16
131581464	5ss	117
13158267	3ss	164
131583018	3ss	117
131583127	5ss	73
13158340	5ss	234
131584607	3ss	73
131602670	3ss	16
131603539	3ss	16
13160888	3ss	168
13160906	3ss	66
13161040	5ss	225
1316169	3ss	236
131622774	5ss	12
131623713	3ss	12
1316291	5ss	164
13164385	3ss	225
131644529	5ss	53
13164487	5ss	98
131648294	3ss	53
131648400	5ss	60
13165995	3ss	98
13166110	5ss	131
131669436	3ss	60
131671600	5ss	91
13167418	3ss	131
13167567	5ss	206
131678375	3ss	91
13167946	3ss	206
13168039	5ss	168
13169745	3ss	168
13169903	5ss	185
131703850	5ss	11
131703947	3ss	11
131710030	5ss	116
131711468	3ss	116
131711522	5ss	153
131715052	3ss	153
131715125	5ss	68
131718629	3ss	68
131718713	5ss	111
131719231	3ss	111
131719311	5ss	103
131720289	3ss	103
131720333	5ss	81
131721081	3ss	81
131721173	5ss	139
131721294	3ss	139
131721413	5ss	182
131728307	5ss	11
131729368	3ss	11
131729503	5ss	13
131729877	3ss	13
131730785	3ss	182
131730996	5ss	158
131731679	3ss	158
131731793	5ss	157
131733037	3ss	157
131733237	5ss	206
131735439	3ss	206
131735528	5ss	147
13174067	3ss	185
131741541	3ss	147
131741606	5ss	182
13174197	5ss	199
131742885	3ss	182
131743004	5ss	192
131743543	3ss	192
131743669	5ss	145
131744828	3ss	145
131744980	5ss	113
131745181	3ss	113
131745307	5ss	154
131745572	3ss	154
131745659	5ss	86
131745753	3ss	86
131745829	5ss	118
131747179	3ss	118
131747293	5ss	166
131748837	3ss	166
131748957	5ss	153
131749088	3ss	153
131749154	5ss	175
131749868	3ss	175
131749996	5ss	130
131750326	3ss	130
131750465	5ss	182
131752399	3ss	182
131752505	5ss	137
13175502	3ss	199
131755476	3ss	137
131755682	5ss	109
131755804	3ss	109
13175581	5ss	173
131755973	5ss	165
131756652	3ss	165
131756721	5ss	163
131757135	3ss	163
131757202	5ss	85
131757598	3ss	85
131757793	5ss	121
131760430	3ss	121
131760507	5ss	68
131760817	3ss	68
131760902	5ss	98
131761451	3ss	98
131761596	5ss	154
131761903	3ss	154
131762084	5ss	204
131763808	3ss	204
131764008	5ss	142
131764163	3ss	142
131764255	5ss	154
131765096	3ss	154
131765254	5ss	134
131765596	3ss	134
131765733	5ss	111
131767426	3ss	111
131767500	5ss	135
131767582	3ss	135
131767809	5ss	205
131767924	3ss	205
131768055	5ss	132
131768329	3ss	132
131768402	5ss	140
131768518	3ss	140
131768647	5ss	138
131768781	3ss	138
13178745	3ss	173
131802969	5ss	10
131804583	3ss	10
131804793	5ss	31
131810706	3ss	31
131810818	5ss	16
131811660	3ss	16
131811777	5ss	24
131812106	3ss	24
131821550	5ss	14
131822829	3ss	14
131822929	5ss	20
131823510	3ss	20
131823625	5ss	11
131825523	3ss	11
131825595	5ss	16
131825824	3ss	16
131825910	5ss	14
131830052	3ss	14
13183861	3ss	12
13183923	5ss	12
13184236	3ss	12
13184310	5ss	14
131843486	5ss	203
131846947	3ss	203
131847047	5ss	129
13184720	3ss	14
131847302	3ss	129
131847386	5ss	170
131847486	3ss	170
131847585	5ss	165
131847797	3ss	165
131847895	5ss	133
13184840	5ss	22
131848418	3ss	97
131848546	5ss	114
131848988	3ss	150
131849077	5ss	204
131851250	3ss	204
131862971	5ss	169
13186349	3ss	22
13186485	5ss	11
131873311	5ss	16
131873751	3ss	16
131873910	5ss	209
131878507	3ss	169
131878551	5ss	244
131882792	3ss	209
131882889	5ss	211
131883326	3ss	244
131883478	5ss	244
131884257	3ss	244
131884359	5ss	389
131885331	3ss	201
131885417	5ss	234
131888294	3ss	389
131888333	5ss	376
131890243	3ss	50
131890347	5ss	43
131890475	3ss	376
131890564	5ss	190
131890588	5ss	57
131891264	3ss	237
131891389	5ss	209
131893145	5ss	33
131893801	3ss	209
131893918	5ss	192
13189427	3ss	11
131894479	5ss	509
131894976	3ss	33
131895059	5ss	31
13189549	5ss	16
131897074	3ss	192
131897173	5ss	185
131897740	3ss	232
131897743	3ss	15
131897803	3ss	459
131897848	5ss	338
131897875	5ss	487
131898750	3ss	185
131898874	5ss	502
131899871	3ss	502
131899971	5ss	510
131900251	3ss	537
131900425	5ss	491
131901928	5ss	15
131901981	3ss	38
131902022	5ss	30
131902359	3ss	491
131902430	5ss	22
131902518	5ss	541
131903761	3ss	541
131903855	5ss	722
131904200	3ss	722
131904210	3ss	330
131904304	5ss	853
131904495	3ss	853
131904631	5ss	637
131904724	3ss	547
131904831	5ss	422
131904882	3ss	637
131909666	3ss	422
131911469	3ss	31
131911620	5ss	30
131915009	3ss	30
131915194	5ss	75
131915554	3ss	75
131915758	5ss	54
131923254	3ss	54
131923382	5ss	89
131923616	3ss	89
131923781	5ss	55
131924379	3ss	55
131924572	5ss	73
13192494	3ss	16
131925323	3ss	73
131925529	5ss	84
131926916	3ss	84
131927098	5ss	108
131927569	3ss	108
131927726	5ss	53
131930561	3ss	53
131930736	5ss	44
131931265	3ss	44
131931502	5ss	72
131934776	5ss	257
131938992	3ss	72
131939181	5ss	65
131939612	3ss	65
131939738	5ss	82
131940498	3ss	82
131940691	5ss	62
131943475	3ss	257
131943583	5ss	670
131944307	3ss	62
131944417	5ss	54
131944809	3ss	54
131944901	5ss	52
131944975	3ss	52
131945088	5ss	43
131951695	3ss	43
131951822	5ss	56
131953762	3ss	56
131953986	5ss	60
131958259	3ss	670
131958333	5ss	952
131959060	3ss	952
131959261	5ss	483
131962670	5ss	10
131964771	3ss	483
131964943	5ss	447
131965183	3ss	447
131965244	5ss	517
131967697	3ss	517
131967754	5ss	657
131969848	3ss	657
131969900	5ss	705
131971167	3ss	10
131971289	5ss	13
131972807	3ss	60
131972892	5ss	77
131973131	3ss	705
131973170	5ss	790
131973261	3ss	790
131973353	5ss	827
131973682	3ss	13
131973773	3ss	77
131973915	5ss	46
131976364	3ss	46
131976497	5ss	11
131977606	3ss	796
131977684	5ss	91
131977870	3ss	11
131978377	3ss	122
13201204	5ss	15
132014764	5ss	11
13203606	5ss	78
132039812	3ss	11
13205449	3ss	15
132059303	5ss	11
13206128	3ss	78
132061364	3ss	11
13206209	5ss	219
13212922	3ss	219
132129415	5ss	54
13213263	5ss	195
132136604	5ss	109
1321415	3ss	164
13214376	3ss	195
13214480	5ss	221
13214625	3ss	69
13214628	3ss	152
13214765	5ss	300
1321491	5ss	213
132153382	3ss	109
132153462	5ss	105
132165319	3ss	105
132165394	5ss	157
132166120	5ss	63
132166165	3ss	157
132166314	5ss	127
132166742	3ss	127
132166783	5ss	118
132168916	3ss	117
132168988	5ss	211
132169491	3ss	118
132169691	5ss	100
132171130	3ss	211
132171246	5ss	179
132172142	3ss	100
132172282	3ss	179
132172348	5ss	175
132172407	5ss	317
132172443	3ss	175
132172538	5ss	133
132172910	3ss	133
132173001	5ss	70
132173315	3ss	317
132173375	5ss	345
132175079	3ss	70
13217510	3ss	300
132175245	5ss	80
132175345	3ss	80
132175424	5ss	69
132175507	3ss	69
132175676	5ss	139
132176066	3ss	345
132176113	3ss	139
132176163	5ss	391
132176212	5ss	112
13217681	5ss	283
132179094	3ss	112
132179201	5ss	103
132179808	3ss	391
132179887	5ss	303
132179894	3ss	103
132180049	5ss	105
132181311	3ss	105
132181367	5ss	91
132181527	3ss	303
132181646	5ss	391
132182540	3ss	91
132182661	5ss	91
132182735	3ss	391
132182844	5ss	246
132184839	3ss	91
132184914	5ss	70
132185143	3ss	70
132185238	5ss	99
132185646	3ss	246
132185711	5ss	269
132186006	3ss	257
132186014	3ss	99
132186032	3ss	12
132186078	5ss	219
132186157	5ss	95
132189158	3ss	219
132189266	5ss	318
132190498	3ss	318
132190629	5ss	282
132191989	3ss	95
132192071	5ss	97
132193210	3ss	282
132193241	5ss	327
132193776	3ss	97
132193929	5ss	157
132194063	3ss	327
132194190	5ss	230
132195408	3ss	230
132195477	5ss	386
132195992	5ss	87
132196633	3ss	157
132196736	5ss	125
132196825	3ss	125
132196916	3ss	386
132196984	5ss	91
132197003	5ss	586
132198071	3ss	91
132198132	3ss	586
132198133	5ss	97
132198301	5ss	171
132198616	3ss	87
132198785	5ss	102
132199213	3ss	97
132199314	5ss	110
132199367	3ss	102
132199498	5ss	129
132199682	3ss	171
132199733	5ss	326
132201020	3ss	326
132201070	3ss	110
132201174	5ss	405
132202219	3ss	129
13220230	5ss	18
132202379	5ss	488
132202383	5ss	67
132202421	5ss	159
132202561	3ss	555
132202727	5ss	1010
132203180	3ss	1010
132203432	3ss	159
132203485	3ss	276
132203516	5ss	172
132203614	5ss	216
132203999	3ss	129
132204084	5ss	128
132204834	3ss	216
132204914	5ss	233
132206071	3ss	233
132206203	5ss	297
132207142	3ss	172
132207296	5ss	141
132207702	3ss	297
132207820	3ss	141
132207864	5ss	266
132207865	5ss	117
132209741	3ss	117
132209895	5ss	162
132209950	3ss	128
132210175	5ss	87
132211258	3ss	162
132211459	5ss	154
132211481	3ss	266
132211485	3ss	87
132211597	5ss	154
13221238	3ss	18
132212838	3ss	154
132212973	5ss	112
132212988	3ss	154
132213103	5ss	111
132213932	3ss	111
132214010	5ss	120
132215372	3ss	120
132215507	5ss	128
132217970	3ss	128
132218154	5ss	80
132218578	3ss	80
132218652	5ss	75
132219638	3ss	75
132219757	5ss	132
132221133	3ss	132
132221312	5ss	79
132222058	3ss	79
132222225	5ss	114
132224146	3ss	114
132224259	5ss	206
13222442	3ss	283
13222607	5ss	159
132226081	3ss	206
132226197	5ss	168
132229911	3ss	168
132230088	5ss	91
132231852	3ss	91
132231943	5ss	66
132233415	3ss	66
132233514	5ss	124
132235266	3ss	124
132235340	5ss	162
132235548	3ss	162
132235660	5ss	96
132237668	3ss	112
132237908	5ss	81
132238913	3ss	81
132239044	5ss	58
132239931	3ss	58
132240024	5ss	47
132241018	3ss	47
132241189	5ss	89
132241672	3ss	96
132241841	5ss	165
132242001	3ss	165
132242043	5ss	159
132242384	3ss	159
132242557	5ss	143
13224330	5ss	24
132244454	3ss	143
132244633	5ss	145
132244985	3ss	145
132245125	5ss	149
132247033	3ss	149
132247176	5ss	120
132249001	3ss	89
132249231	5ss	106
13224933	3ss	159
132249842	3ss	120
132249941	5ss	231
132250663	3ss	106
132250853	5ss	158
13225100	5ss	227
132251578	5ss	38
132255698	3ss	38
132255874	5ss	69
132257020	3ss	231
132258806	5ss	13
132258931	3ss	13
132259081	5ss	15
132262610	3ss	158
132262875	5ss	65
132263885	3ss	15
132264676	3ss	10
132265418	5ss	10
132265602	3ss	69
132271008	3ss	65
132271133	5ss	82
132275463	5ss	13
132276076	3ss	13
13227749	5ss	58
13228164	3ss	227
132281723	3ss	82
132281905	5ss	67
13228280	5ss	108
132283582	3ss	67
132283654	5ss	39
132283968	3ss	39
13228808	3ss	58
13228945	5ss	27
13228960	3ss	24
13229268	5ss	38
132301496	5ss	16
13230881	3ss	108
13231080	5ss	209
132326345	5ss	11
132328542	3ss	11
13233299	3ss	209
13233399	5ss	267
13234255	3ss	267
13234365	5ss	295
13234451	3ss	295
13234568	5ss	211
132348655	3ss	16
13237041	3ss	211
13237269	5ss	280
132379542	5ss	134
132379657	5ss	37
132380146	3ss	37
132380238	5ss	56
132380328	3ss	56
132380369	5ss	52
132384667	3ss	134
132384712	5ss	111
132384828	3ss	111
132384917	5ss	171
132387662	3ss	171
132387771	5ss	209
132388049	5ss	380
132388574	5ss	129
132389042	3ss	209
132389128	5ss	197
132389809	3ss	197
132389893	5ss	214
132390621	3ss	214
132390725	5ss	118
132390894	3ss	118
132391021	5ss	188
132391437	3ss	52
132391469	5ss	53
132392040	3ss	53
132392076	5ss	38
132393189	3ss	38
132393362	5ss	34
132393443	3ss	34
132393516	5ss	28
132393681	3ss	28
132393782	5ss	50
132394092	3ss	188
132394227	5ss	187
132394320	3ss	50
132394378	5ss	70
132394449	3ss	187
132394464	3ss	70
132394524	5ss	137
132394546	5ss	72
132394661	3ss	137
132394767	5ss	228
132394799	3ss	72
132394849	5ss	67
132394929	3ss	108
132395080	5ss	14
132395144	5ss	207
132395257	3ss	67
132395287	3ss	228
132395345	5ss	40
13239623	3ss	280
132396333	3ss	242
132396487	3ss	40
132396500	5ss	45
132396585	5ss	140
132396634	5ss	30
132397487	3ss	185
13239767	5ss	280
132397743	3ss	30
132397803	5ss	57
132398292	3ss	57
132398381	5ss	47
132398897	3ss	47
132399022	5ss	34
132399628	3ss	34
132399776	5ss	43
132399880	3ss	43
132399966	5ss	76
132400436	3ss	76
132400672	3ss	380
132400704	5ss	63
132400729	5ss	448
132400943	3ss	63
132401136	5ss	47
132401498	3ss	47
132401607	5ss	32
132401956	3ss	32
132402099	5ss	42
132403042	3ss	42
132403109	3ss	448
132403226	5ss	27
132403249	5ss	996
132403757	3ss	27
132403929	5ss	36
132404017	3ss	36
132404135	5ss	26
132404524	3ss	26
132404681	5ss	45
132405645	3ss	45
132405780	5ss	18
132405851	3ss	18
132406066	3ss	996
132406188	5ss	437
13240689	3ss	280
13240807	5ss	175
132408922	3ss	437
132409021	5ss	815
132409685	3ss	815
132409818	5ss	1052
132412346	3ss	1052
132412590	5ss	1120
132413925	5ss	10
132414341	5ss	15
132414452	3ss	25
132414680	5ss	52
132416720	3ss	52
132416857	5ss	98
132417267	3ss	34
132417378	5ss	15
132419189	3ss	15
132422474	3ss	1120
132422550	5ss	659
132423718	3ss	64
132423820	5ss	106
132424096	3ss	659
132424247	5ss	501
132424747	3ss	501
132424853	5ss	533
132425254	3ss	533
132425387	5ss	636
132425837	3ss	106
132426528	5ss	74
132426885	3ss	636
132427066	5ss	1401
132428084	3ss	74
132428392	3ss	1343
132428395	3ss	58
132428481	5ss	1296
132431790	3ss	1296
132431942	5ss	1655
132432853	3ss	1655
132432978	5ss	654
13243421	3ss	175
132435237	3ss	654
13243534	5ss	128
132435344	5ss	1252
132437451	3ss	1252
132437570	5ss	1117
132439557	3ss	1117
132439718	5ss	966
132439925	3ss	966
13246014	3ss	65
13246219	3ss	128
13246364	5ss	237
132464338	5ss	13
132466034	3ss	13
132466141	5ss	13
132466638	3ss	13
132467023	5ss	26
13246967	5ss	288
13247046	3ss	288
132471059	3ss	26
132471352	5ss	11
13247219	5ss	265
132472250	3ss	11
132472435	5ss	31
132474509	3ss	31
132474649	5ss	25
132475181	3ss	25
132475259	5ss	29
132475952	3ss	29
132476001	5ss	35
132476718	3ss	35
132476775	5ss	25
132479412	3ss	25
132479501	5ss	25
13248085	3ss	265
13248190	5ss	342
13248292	3ss	342
132483053	5ss	15
13248389	5ss	340
132484496	3ss	15
13248961	3ss	340
132489622	3ss	25
132490847	5ss	12
132491245	3ss	12
132491422	5ss	30
132496043	3ss	30
132496179	5ss	12
132497554	3ss	12
132497723	5ss	13
132498035	3ss	13
132498209	5ss	23
132498322	3ss	23
132502266	5ss	18
132502755	3ss	18
132502921	5ss	12
132504594	3ss	12
132504763	5ss	10
132505624	3ss	10
132508486	5ss	11
132510191	3ss	11
13251091	3ss	237
13251133	5ss	271
13251227	3ss	271
132512833	5ss	24
13251390	5ss	15
132514246	3ss	24
132514703	5ss	28
132516498	3ss	28
132516694	5ss	12
132522227	3ss	12
132522338	5ss	26
132522498	3ss	26
132528007	5ss	20
132528190	3ss	20
132528273	5ss	15
132528722	3ss	15
132528856	5ss	27
132529216	3ss	27
132529260	5ss	33
132529345	3ss	33
132530105	5ss	10
132530272	3ss	10
132530445	5ss	39
132534868	3ss	39
132546868	5ss	11
132547011	3ss	11
132547246	5ss	14
132549213	3ss	14
132549431	5ss	14
132551319	3ss	14
132552031	5ss	10
132554040	3ss	10
132565690	5ss	64
132566352	3ss	64
132566617	5ss	115
132569467	3ss	115
132569642	5ss	149
132571184	3ss	149
132571311	5ss	66
132571621	3ss	66
132589849	5ss	18
132593117	3ss	18
13260281	3ss	15
132605146	5ss	10
13260545	5ss	15
132605985	3ss	10
132606525	5ss	10
132609739	3ss	10
132612203	5ss	21
132614819	3ss	21
132614915	5ss	27
132618586	3ss	27
132618639	5ss	24
132620329	3ss	24
132620391	5ss	17
132620746	3ss	17
132620877	5ss	26
132623216	3ss	26
132623312	5ss	17
132623822	3ss	17
132623891	5ss	13
132625465	3ss	13
132625578	5ss	33
132627582	3ss	33
132627660	5ss	34
132629150	5ss	68
132629399	3ss	68
132629519	5ss	42
132630104	3ss	42
132630210	5ss	54
132630284	3ss	34
132630728	5ss	18
132631141	3ss	18
132631826	3ss	54
132631933	5ss	55
132632178	3ss	55
132632327	5ss	49
132632425	3ss	49
132632524	5ss	43
132632617	3ss	43
132632651	5ss	56
132632826	5ss	16
132633154	3ss	56
132633204	5ss	58
132633329	3ss	58
132633440	5ss	53
132635526	3ss	53
132635586	5ss	87
132635761	3ss	16
132635794	5ss	31
132635803	3ss	87
132635913	5ss	111
132635978	3ss	31
132636023	5ss	30
132636029	3ss	111
132636189	5ss	101
132636283	3ss	101
132636365	5ss	87
132636629	3ss	87
132636742	5ss	70
132636827	3ss	70
132636855	3ss	30
132637234	5ss	10
132637589	3ss	10
132637758	5ss	31
132637839	3ss	31
132637920	5ss	21
132638409	3ss	21
132638517	5ss	20
132640617	3ss	20
132640719	5ss	15
132641852	3ss	15
132641923	5ss	18
132642392	3ss	18
1326545	3ss	213
1326653	5ss	236
13269187	3ss	15
13269330	5ss	11
13273021	3ss	11
132816352	5ss	51
132837915	3ss	51
132838028	5ss	97
132838691	3ss	97
132838741	5ss	81
132839578	3ss	81
132839657	5ss	123
132841909	3ss	123
132842048	5ss	174
132845844	3ss	174
132845881	5ss	154
132848699	3ss	154
132848755	5ss	82
132853155	3ss	82
132853262	5ss	158
132854527	3ss	158
132854660	5ss	170
132861736	3ss	170
132861811	5ss	163
132862908	3ss	163
132862981	5ss	97
132863385	3ss	97
132863502	5ss	86
132866699	3ss	86
132866829	5ss	84
132869775	3ss	84
132869818	5ss	48
132887194	3ss	48
132887243	5ss	76
132889762	3ss	76
132889845	5ss	139
132890919	3ss	139
132891040	5ss	112
132897304	3ss	112
132916569	5ss	52
132935006	5ss	69
132937943	5ss	149
132952746	3ss	52
132952822	5ss	123
132956992	3ss	123
132957119	5ss	177
132958730	3ss	177
132958880	5ss	132
132959737	3ss	149
132959926	5ss	113
132962216	3ss	132
132962337	5ss	95
132963237	3ss	69
132963261	5ss	83
132966065	3ss	95
132966214	5ss	77
132968015	3ss	77
132968152	5ss	68
132971832	3ss	68
132971910	5ss	118
132973676	3ss	113
132973870	5ss	173
132980111	3ss	83
132980249	5ss	51
132980542	3ss	118
132980677	5ss	68
132982004	3ss	51
132982082	5ss	57
132982723	3ss	68
132982890	5ss	167
132984929	3ss	57
132985017	5ss	88
132985361	3ss	88
132985438	5ss	86
132988274	3ss	167
132988388	5ss	149
132988668	3ss	86
132988783	5ss	132
132989288	3ss	149
132989339	5ss	116
132990631	3ss	173
132990815	5ss	133
132991094	3ss	116
132991266	5ss	186
132991593	3ss	186
132991668	5ss	176
132995269	3ss	132
132996386	3ss	176
132996547	5ss	76
132997176	3ss	76
132997307	5ss	123
132998441	3ss	123
132998508	5ss	66
132999822	3ss	66
132999949	5ss	75
133002038	3ss	133
133002144	5ss	144
133008653	3ss	75
133008744	5ss	199
133014006	3ss	199
133014054	5ss	239
133014850	3ss	239
133014953	5ss	123
133015483	3ss	123
133015532	5ss	109
133023037	3ss	109
133041084	3ss	144
133041327	5ss	117
133051	3ss	303
133059582	3ss	117
133059756	5ss	131
1330649	3ss	236
1330782	5ss	216
133084936	5ss	38
133085752	3ss	11
133102320	3ss	27
133104574	5ss	11
1331125	5ss	13
133124589	3ss	11
133124618	5ss	10
133135752	5ss	9221
133135871	3ss	9221
133135921	5ss	14488
133136111	3ss	14488
133136227	5ss	13642
133136363	5ss	203
133136816	5ss	10
133137600	3ss	13845
133137702	5ss	18869
133138099	3ss	18869
133138200	5ss	9898
133138619	3ss	9898
133144067	3ss	20
133144112	5ss	32
133146512	3ss	32
133146827	5ss	57
133146921	3ss	28
133146924	3ss	29
133147126	5ss	73
133147654	3ss	73
133147817	5ss	103
133148110	5ss	45
133148874	3ss	148
133148930	5ss	115
133149113	3ss	115
133149208	5ss	68
133150676	3ss	68
133150744	5ss	67
133150905	3ss	67
133150934	5ss	82
133151079	3ss	82
133151150	5ss	98
133153385	3ss	98
133153517	5ss	154
133158025	3ss	154
133158102	5ss	131
133158327	3ss	131
133158410	5ss	90
133158648	3ss	90
133158852	5ss	64
133159557	3ss	64
133160082	3ss	131
133160227	5ss	181
133164804	3ss	181
133164892	5ss	226
1332210	3ss	216
1332405	5ss	314
133255	5ss	130
133264378	5ss	48
133266849	3ss	48
133266962	5ss	90
133272470	3ss	90
133272632	5ss	103
133277836	3ss	103
133277955	5ss	117
133281205	3ss	117
1332862	3ss	314
133287653	5ss	148
133291444	3ss	148
133291622	5ss	300
133293128	5ss	357
133293883	3ss	357
133293959	5ss	574
