A2_pos	ss	A2_reads
131902022	5ss	21
131902359	3ss	477
131902430	5ss	20
131902518	5ss	410
131903761	3ss	410
131903855	5ss	561
131904200	3ss	561
131904210	3ss	239
131904304	5ss	741
131904495	3ss	741
131904631	5ss	476
131904724	3ss	513
131904831	5ss	439
131904882	3ss	476
131909666	3ss	439
131911469	3ss	34
131911620	5ss	23
131915009	3ss	23
131915194	5ss	57
131915554	3ss	57
131915758	5ss	29
131923254	3ss	29
131923382	5ss	88
131923616	3ss	88
131923781	5ss	37
131924379	3ss	37
131924572	5ss	62
13192494	3ss	21
131925323	3ss	62
131925529	5ss	81
13192669	5ss	16
131926916	3ss	81
131927098	5ss	95
131927569	3ss	95
131927726	5ss	33
131930561	3ss	33
131930736	5ss	31
131931265	3ss	31
131931502	5ss	67
131934776	5ss	201
131938992	3ss	67
131939181	5ss	70
131939612	3ss	70
131939738	5ss	81
131940498	3ss	81
131940691	5ss	40
131943475	3ss	201
131943583	5ss	513
131944307	3ss	40
131944417	5ss	60
131944809	3ss	60
131944901	5ss	59
131944975	3ss	59
131945088	5ss	47
131951695	3ss	47
131951822	5ss	84
131953762	3ss	84
131953986	5ss	37
131958259	3ss	513
131958333	5ss	768
131959060	3ss	768
131959261	5ss	340
131964771	3ss	340
131964943	5ss	250
131965183	3ss	250
131965244	5ss	306
131967697	3ss	306
131967754	5ss	427
131969848	3ss	427
131969900	5ss	475
131972807	3ss	37
131972892	5ss	45
131973131	3ss	475
131973170	5ss	587
131973261	3ss	587
131973353	5ss	703
13197374	5ss	12
131973773	3ss	45
131973915	5ss	46
131976364	3ss	46
131976497	5ss	12
131977606	3ss	676
131977684	5ss	83
131977870	3ss	12
131978377	3ss	110
13201113	3ss	16
13201204	5ss	22
13202561	5ss	10
13203606	5ss	61
13205449	3ss	22
132059303	5ss	13
13206128	3ss	61
132061364	3ss	13
13206209	5ss	202
13208485	3ss	12
13212922	3ss	202
132129415	5ss	41
13213263	5ss	152
132136604	5ss	76
1321415	3ss	187
13214376	3ss	152
13214480	5ss	166
13214625	3ss	45
13214628	3ss	121
13214765	5ss	270
1321491	5ss	225
132153382	3ss	76
132153462	5ss	85
132165319	3ss	85
132165394	5ss	102
132166120	5ss	56
132166165	3ss	102
132166314	5ss	96
132166742	3ss	96
132166783	5ss	74
132168916	3ss	97
132168988	5ss	208
132169491	3ss	74
132169691	5ss	74
132171130	3ss	208
132171246	5ss	161
132172142	3ss	74
132172282	3ss	161
132172348	5ss	117
132172407	5ss	354
132172443	3ss	117
132172538	5ss	88
132172910	3ss	88
132173001	5ss	68
132173315	3ss	354
132173375	5ss	298
132175079	3ss	68
13217510	3ss	270
132175245	5ss	68
132175345	3ss	68
132175424	5ss	62
132175507	3ss	62
132175676	5ss	115
132176066	3ss	298
132176113	3ss	115
132176163	5ss	298
132176212	5ss	83
13217681	5ss	242
132179094	3ss	83
132179201	5ss	68
132179808	3ss	298
132179887	5ss	268
132179894	3ss	68
132180049	5ss	76
132181311	3ss	76
132181367	5ss	87
132181527	3ss	268
132181646	5ss	432
132182540	3ss	87
132182661	5ss	72
132182735	3ss	432
132182844	5ss	218
132184839	3ss	72
132184914	5ss	63
132185143	3ss	63
132185238	5ss	90
132185646	3ss	218
132185711	5ss	216
132186006	3ss	216
132186014	3ss	90
132186078	5ss	196
132186157	5ss	74
132189158	3ss	196
132189266	5ss	322
132190498	3ss	322
132190629	5ss	249
132191989	3ss	74
132192071	5ss	64
132193210	3ss	249
132193241	5ss	282
132193776	3ss	64
132193929	5ss	117
132194063	3ss	282
132194190	5ss	225
132195408	3ss	225
132195477	5ss	373
132195992	5ss	76
132196633	3ss	117
132196736	5ss	76
132196825	3ss	76
132196916	3ss	373
132196984	5ss	89
132197003	5ss	565
132198071	3ss	89
132198132	3ss	565
132198133	5ss	97
132198301	5ss	212
132198616	3ss	76
132198785	5ss	126
132199213	3ss	97
132199314	5ss	150
132199367	3ss	126
132199498	5ss	153
132199682	3ss	212
132199733	5ss	315
132201020	3ss	315
132201070	3ss	150
132201174	5ss	416
132202219	3ss	157
13220230	5ss	11
132202379	5ss	392
132202383	5ss	42
132202421	5ss	130
132202561	3ss	434
132202727	5ss	744
132203180	3ss	744
132203432	3ss	130
132203485	3ss	259
132203516	5ss	135
132203614	5ss	207
132203999	3ss	153
132204084	5ss	125
132204834	3ss	207
132204914	5ss	248
132206071	3ss	248
132206203	5ss	309
132207142	3ss	135
132207296	5ss	104
132207702	3ss	309
132207820	3ss	104
132207864	5ss	227
132207865	5ss	89
132209741	3ss	89
132209895	5ss	205
132209950	3ss	125
132210175	5ss	87
132211258	3ss	205
132211459	5ss	152
132211481	3ss	227
132211485	3ss	87
132211597	5ss	172
13221238	3ss	11
132212838	3ss	172
132212973	5ss	113
132212988	3ss	152
132213103	5ss	131
132213932	3ss	131
132214010	5ss	111
132215372	3ss	111
132215507	5ss	85
132217970	3ss	85
132218154	5ss	87
132218578	3ss	87
132218652	5ss	64
132219638	3ss	64
132219757	5ss	81
132221133	3ss	81
132221312	5ss	74
132222058	3ss	74
132222225	5ss	111
132224146	3ss	111
132224259	5ss	175
13222442	3ss	242
13222607	5ss	130
132226081	3ss	175
132226197	5ss	110
132229911	3ss	110
132230088	5ss	86
132231852	3ss	86
132231943	5ss	40
132233415	3ss	40
132233514	5ss	93
132235266	3ss	93
132235340	5ss	135
132235548	3ss	135
132235660	5ss	81
132237668	3ss	113
132237908	5ss	77
132238913	3ss	77
132239044	5ss	75
132239931	3ss	75
132240024	5ss	72
132241018	3ss	72
132241189	5ss	82
132241672	3ss	81
132241841	5ss	156
132242001	3ss	156
132242043	5ss	156
132242384	3ss	156
132242557	5ss	115
13224330	5ss	30
132244454	3ss	115
132244633	5ss	170
132244985	3ss	170
132245125	5ss	109
132247033	3ss	109
132247176	5ss	111
132249001	3ss	82
132249231	5ss	86
13224933	3ss	130
132249842	3ss	111
132249941	5ss	217
132250663	3ss	86
132250853	5ss	189
13225100	5ss	177
132251578	5ss	12
132255698	3ss	12
132255874	5ss	43
132257020	3ss	217
132258643	5ss	22
132258754	3ss	22
132258806	5ss	28
132258931	3ss	28
132259081	5ss	17
132262610	3ss	189
132262875	5ss	68
132263885	3ss	17
132265602	3ss	43
132271008	3ss	68
132271133	5ss	86
132277239	5ss	10
13227749	5ss	58
132277670	3ss	10
13228164	3ss	177
132281723	3ss	86
132281905	5ss	66
13228280	5ss	94
132283582	3ss	66
132283654	5ss	27
132283968	3ss	27
13228808	3ss	58
13228945	5ss	27
13228960	3ss	30
13229268	5ss	40
132301496	5ss	13
13230881	3ss	94
13231080	5ss	157
13233299	3ss	157
13233399	5ss	204
13234255	3ss	204
13234365	5ss	206
13234451	3ss	206
13234568	5ss	237
132348655	3ss	13
13237041	3ss	237
13237269	5ss	241
132379542	5ss	92
132379657	5ss	34
132380146	3ss	34
132380238	5ss	51
132380328	3ss	51
132380369	5ss	47
132384667	3ss	92
132384712	5ss	88
132384828	3ss	88
132384917	5ss	111
132387662	3ss	111
132387771	5ss	141
132388049	5ss	303
132388574	5ss	112
132389042	3ss	141
132389128	5ss	134
132389809	3ss	134
132389893	5ss	185
132390621	3ss	185
132390725	5ss	89
132390894	3ss	89
132391021	5ss	162
132391437	3ss	47
132391469	5ss	51
132392040	3ss	51
132392076	5ss	41
132393189	3ss	41
132393362	5ss	35
132393443	3ss	35
132393516	5ss	39
132393681	3ss	39
132393782	5ss	67
132394092	3ss	162
132394227	5ss	150
132394320	3ss	67
132394378	5ss	83
132394449	3ss	150
132394464	3ss	83
132394524	5ss	130
132394546	5ss	73
132394661	3ss	130
132394767	5ss	230
132394799	3ss	73
132394849	5ss	56
132394929	3ss	102
132395080	5ss	13
132395144	5ss	177
132395257	3ss	56
132395287	3ss	230
132395345	5ss	25
13239623	3ss	241
132396333	3ss	200
132396487	3ss	25
132396500	5ss	44
132396585	5ss	79
132396634	5ss	52
132397487	3ss	123
13239767	5ss	240
132397743	3ss	52
132397803	5ss	81
132398292	3ss	81
132398381	5ss	55
132398897	3ss	55
132399022	5ss	44
132399628	3ss	44
132399776	5ss	58
132399880	3ss	58
132399966	5ss	101
132400436	3ss	101
132400672	3ss	303
132400704	5ss	79
132400729	5ss	319
132400943	3ss	79
132401136	5ss	56
132401498	3ss	56
132401607	5ss	44
132401956	3ss	44
132402099	5ss	23
132403042	3ss	23
132403109	3ss	319
132403226	5ss	31
132403249	5ss	759
132403757	3ss	31
132403929	5ss	43
132404017	3ss	43
132404135	5ss	45
132404524	3ss	45
132404681	5ss	41
132405645	3ss	41
132405780	5ss	37
132405851	3ss	37
132406066	3ss	759
132406188	5ss	433
13240689	3ss	240
13240807	5ss	190
132408922	3ss	433
132409021	5ss	860
132409685	3ss	860
132409818	5ss	858
132412346	3ss	858
132412590	5ss	956
132413925	5ss	13
132414341	5ss	37
132414452	3ss	50
132414680	5ss	61
132416720	3ss	61
132416857	5ss	71
132417267	3ss	14
132422474	3ss	956
132422550	5ss	424
132423718	3ss	57
132423820	5ss	82
132424096	3ss	424
132424247	5ss	398
132424747	3ss	398
132424853	5ss	551
132425254	3ss	551
132425387	5ss	481
132425837	3ss	82
132426528	5ss	71
132426885	3ss	481
132427066	5ss	1347
132428084	3ss	71
132428392	3ss	1301
132428395	3ss	46
132428481	5ss	1207
132431790	3ss	1207
132431942	5ss	1450
132432853	3ss	1450
132432978	5ss	519
13243421	3ss	190
132435237	3ss	519
13243534	5ss	122
132435344	5ss	953
132437451	3ss	953
132437570	5ss	942
132439557	3ss	942
132439718	5ss	976
132439925	3ss	976
13246014	3ss	67
13246219	3ss	122
13246364	5ss	220
132466141	5ss	11
132466638	3ss	11
132467023	5ss	27
13246967	5ss	290
13247046	3ss	290
132471059	3ss	27
13247219	5ss	267
132472435	5ss	39
132474509	3ss	39
132474649	5ss	11
132475181	3ss	11
132475259	5ss	10
132475952	3ss	10
132476001	5ss	31
132476718	3ss	31
132476775	5ss	36
132479412	3ss	36
132479501	5ss	11
13248085	3ss	267
13248190	5ss	297
13248292	3ss	297
13248389	5ss	296
13248961	3ss	296
132489622	3ss	11
132489729	5ss	13
132490657	3ss	13
132490847	5ss	10
132491245	3ss	10
132491422	5ss	22
132496043	3ss	22
132497723	5ss	23
132498035	3ss	23
132498209	5ss	12
132498322	3ss	12
132498458	5ss	10
132502080	3ss	10
132502266	5ss	19
132502755	3ss	19
132502921	5ss	25
132504594	3ss	25
132504763	5ss	17
132505624	3ss	17
132508486	5ss	12
132510191	3ss	12
132510349	5ss	11
13251091	3ss	220
13251133	5ss	255
13251151	3ss	10
132511982	3ss	11
13251227	3ss	255
132522338	5ss	28
132522498	3ss	28
132528007	5ss	19
132528190	3ss	19
132528273	5ss	17
132528722	3ss	17
132528856	5ss	32
132529216	3ss	32
132529260	5ss	36
132529345	3ss	36
132529498	5ss	21
132529864	3ss	21
132530445	5ss	41
132534868	3ss	41
132535004	5ss	15
132535144	3ss	15
132535200	5ss	13
132537691	3ss	13
132537769	5ss	18
132537888	3ss	18
132539564	5ss	12
132539644	3ss	12
132539753	5ss	15
132546655	3ss	15
132546868	5ss	16
132547011	3ss	16
132547246	5ss	16
132549213	3ss	16
132565690	5ss	78
132566352	3ss	78
132566617	5ss	111
132569467	3ss	111
132569642	5ss	110
132571184	3ss	110
132571311	5ss	53
132571621	3ss	53
132589849	5ss	14
132593117	3ss	14
132605146	5ss	13
13260545	5ss	19
132605985	3ss	13
132612203	5ss	28
132614819	3ss	28
132614915	5ss	21
132618586	3ss	21
132618639	5ss	11
132620329	3ss	11
132620391	5ss	16
132620746	3ss	16
132620877	5ss	25
132623216	3ss	25
132623312	5ss	21
132623822	3ss	21
132623891	5ss	15
132625465	3ss	15
132625578	5ss	13
132627582	3ss	13
132627660	5ss	14
132629150	5ss	62
132629399	3ss	62
132629519	5ss	42
132630104	3ss	42
132630210	5ss	32
132630284	3ss	14
132630728	5ss	13
132631141	3ss	13
132631704	5ss	10
132631826	3ss	32
132631933	5ss	53
132631951	3ss	10
132632178	3ss	53
132632327	5ss	45
132632425	3ss	45
132632524	5ss	46
132632617	3ss	46
132632651	5ss	50
132632826	5ss	16
132633154	3ss	50
132633204	5ss	57
132633329	3ss	57
132633440	5ss	44
132635526	3ss	44
132635586	5ss	89
132635761	3ss	16
132635794	5ss	34
132635803	3ss	89
132635913	5ss	119
132635978	3ss	34
132636023	5ss	36
132636029	3ss	119
132636189	5ss	111
132636283	3ss	111
132636365	5ss	94
132636629	3ss	94
132636742	5ss	59
132636827	3ss	59
132636855	3ss	36
132637758	5ss	18
132637839	3ss	18
132637920	5ss	12
132638409	3ss	12
132638517	5ss	10
132640617	3ss	10
132640719	5ss	10
132641852	3ss	10
132641923	5ss	11
132642392	3ss	11
132642568	5ss	10
132642746	3ss	10
1326545	3ss	225
1326653	5ss	272
13269187	3ss	19
13269330	5ss	18
13273021	3ss	18
13273110	5ss	10
13279589	3ss	10
132816352	5ss	52
132837915	3ss	52
132838028	5ss	87
132838691	3ss	87
132838741	5ss	89
132839578	3ss	89
132839657	5ss	124
132841909	3ss	124
132842048	5ss	136
132845844	3ss	136
132845881	5ss	141
132848699	3ss	141
132848755	5ss	78
132853155	3ss	78
132853262	5ss	166
132854527	3ss	166
132854660	5ss	163
132861736	3ss	163
132861811	5ss	167
132862908	3ss	167
132862981	5ss	107
132863385	3ss	107
132863502	5ss	92
132866699	3ss	92
132866829	5ss	68
132869775	3ss	68
132869818	5ss	66
132872649	3ss	11
132887194	3ss	55
132887243	5ss	89
132889762	3ss	89
132889845	5ss	134
132890919	3ss	134
132891040	5ss	95
132897304	3ss	95
132916569	5ss	68
132935006	5ss	48
132937943	5ss	162
132952746	3ss	68
132952822	5ss	103
132956992	3ss	103
132957119	5ss	148
132958730	3ss	148
132958880	5ss	97
132959737	3ss	162
132959926	5ss	75
132962216	3ss	97
132962337	5ss	83
132963237	3ss	48
132963261	5ss	62
132966065	3ss	83
132966214	5ss	70
132968015	3ss	70
132968152	5ss	59
132971832	3ss	59
132971910	5ss	128
132973676	3ss	75
132973870	5ss	202
132980111	3ss	62
132980249	5ss	83
132980542	3ss	128
132980677	5ss	64
132982004	3ss	83
132982082	5ss	69
132982723	3ss	64
132982890	5ss	118
132984929	3ss	69
132985017	5ss	82
132985361	3ss	82
132985438	5ss	102
132988274	3ss	118
132988388	5ss	104
132988668	3ss	102
132988783	5ss	147
132989288	3ss	104
132989339	5ss	88
132990631	3ss	202
132990815	5ss	131
132991094	3ss	88
132991266	5ss	166
132991593	3ss	166
132991668	5ss	168
132995269	3ss	147
132996386	3ss	168
132996547	5ss	87
132997176	3ss	87
132997307	5ss	111
132998441	3ss	111
132998508	5ss	49
132999822	3ss	49
132999949	5ss	64
133002038	3ss	131
133002144	5ss	127
133008653	3ss	64
133008744	5ss	181
133014006	3ss	181
133014054	5ss	218
133014850	3ss	218
133014953	5ss	98
133015483	3ss	98
133015532	5ss	71
133023037	3ss	71
133041084	3ss	127
133041327	5ss	71
133051	3ss	253
133059582	3ss	71
133059756	5ss	111
1330649	3ss	272
1330782	5ss	191
133084936	5ss	42
1330983	3ss	11
133102320	3ss	42
133102409	5ss	35
133104539	3ss	35
133104574	5ss	33
1331125	5ss	13
133124589	3ss	33
133124618	5ss	12
133135752	5ss	5814
133135871	3ss	5814
133135921	5ss	9332
133136111	3ss	9332
133136227	5ss	9591
133136363	5ss	204
133137600	3ss	9795
133137702	5ss	13434
133138099	3ss	13434
133138200	5ss	6390
133138619	3ss	6390
133144067	3ss	12
133144112	5ss	57
133146512	3ss	57
133146827	5ss	44
133146921	3ss	10
133146924	3ss	34
133147126	5ss	65
133147654	3ss	65
133147817	5ss	102
133148110	5ss	19
133148874	3ss	121
133148930	5ss	79
133149113	3ss	79
133149208	5ss	36
133150676	3ss	36
133150744	5ss	73
133150905	3ss	73
133150934	5ss	84
133151079	3ss	84
133151150	5ss	105
133153385	3ss	105
133153517	5ss	161
133158025	3ss	161
133158102	5ss	120
133158327	3ss	120
133158410	5ss	86
133158648	3ss	86
133158852	5ss	105
133159557	3ss	105
133160082	3ss	111
133160227	5ss	203
133164804	3ss	203
133164892	5ss	203
1332210	3ss	191
1332405	5ss	283
133255	5ss	91
133264378	5ss	43
133266849	3ss	43
133266962	5ss	61
133272470	3ss	61
133272632	5ss	64
133277836	3ss	64
133277955	5ss	95
133281205	3ss	95
1332862	3ss	283
133287653	5ss	133
133291444	3ss	133
133291622	5ss	291
133293128	5ss	356
133293883	3ss	356
133293959	5ss	532
133294025	3ss	291
133294150	5ss	181
133294296	3ss	181
133294384	5ss	207
133294573	3ss	128
133294576	3ss	79
133294706	5ss	254
133297264	3ss	254
133302846	3ss	489
133302849	3ss	43
133302994	5ss	917
133305407	3ss	917
133305566	5ss	715
133306003	3ss	145
133306006	3ss	13
133306740	3ss	472
133307197	3ss	85
133314798	3ss	203
133314894	5ss	65
133320382	5ss	45
133327611	3ss	45
133327720	5ss	204
133329692	3ss	204
133329760	5ss	208
133333788	3ss	208
133333976	5ss	137
133339498	3ss	137
133339554	5ss	130
133342112	3ss	130
133342186	5ss	198
133346221	3ss	198
133346291	5ss	236
133346872	3ss	236
133346902	5ss	232
133352258	3ss	232
133352348	5ss	138
133355103	3ss	138
133355187	5ss	181
133355772	3ss	181
133355836	5ss	181
133364720	3ss	181
133364851	5ss	148
133370254	3ss	148
133370410	5ss	239
133374892	3ss	239
133374957	5ss	242
133376363	3ss	242
133451078	5ss	17
133451600	3ss	17
133451724	5ss	17
133455151	5ss	125
133465327	5ss	2925
133467256	3ss	2872
133467428	5ss	4451
133469304	5ss	35
133470870	3ss	125
133470975	5ss	158
133472439	3ss	4504
133472547	5ss	3561
133473339	3ss	3561
133473515	5ss	6442
133473750	3ss	17
133473855	5ss	22
133474207	3ss	6442
133474339	5ss	5182
133474642	3ss	22
133474729	5ss	14
133475126	3ss	5182
133475181	5ss	5566
133475651	3ss	10
133475675	3ss	5556
133475853	5ss	3956
133476613	3ss	3956
133476790	5ss	11435
133477876	3ss	14
133477995	5ss	10
133478019	3ss	11435
133478173	5ss	10917
133478412	3ss	10
133478574	5ss	22
133478684	3ss	22
133478791	5ss	19
133479283	3ss	19
133479331	5ss	16
133479516	3ss	11
133479668	5ss	30
133481915	3ss	16
133483026	3ss	10936
133483119	5ss	7243
133483719	3ss	7243
133483751	5ss	5869
133485122	3ss	5869
133485277	5ss	5187
133485341	3ss	158
133485374	5ss	163
133486873	3ss	5187
133487008	5ss	5489
133487843	3ss	163
133487892	5ss	165
133488343	3ss	165
133488414	5ss	156
133489352	3ss	5489
133489416	5ss	7426
133489675	3ss	156
133489732	5ss	235
133490837	3ss	33
133491742	3ss	235
133491904	5ss	253
133493180	3ss	35
133493184	3ss	253
133493275	5ss	16
133493282	5ss	261
133493723	3ss	11
133493794	3ss	16
133494277	3ss	7382
133494461	5ss	8592
133495741	3ss	261
133495845	5ss	309
133495893	3ss	8592
133495982	5ss	12
133496082	5ss	2793
133497430	3ss	2805
133498095	3ss	309
133498197	5ss	132
133498998	3ss	132
133499098	5ss	226
133501751	3ss	226
133501892	5ss	231
133502078	3ss	65
133502297	5ss	105
133506015	3ss	231
133506175	5ss	148
133506944	3ss	148
133507017	5ss	157
133507329	3ss	157
133507409	5ss	228
133507497	5ss	122
133507589	3ss	228
133507665	5ss	224
133510054	3ss	187
133510125	5ss	175
133511386	3ss	212
133511513	5ss	124
133511602	3ss	122
133511785	5ss	45
133512035	3ss	45
133512136	5ss	130
133512401	3ss	124
133524846	5ss	395
133525453	3ss	395
133525547	5ss	362
133526590	3ss	362
133526667	5ss	282
133527531	3ss	130
133527664	5ss	214
133527939	3ss	214
133527982	5ss	230
133529961	3ss	282
133530043	5ss	290
133534434	3ss	290
133534570	5ss	335
133535722	3ss	335
133535776	5ss	455
133538397	3ss	455
133547518	3ss	34
133547521	3ss	196
133547687	5ss	154
133547853	3ss	154
133547996	5ss	129
133549046	3ss	129
133549150	5ss	82
133551199	3ss	82
133551332	5ss	176
133559231	3ss	176
133559360	5ss	61
133559691	3ss	61
133562887	5ss	18
1335683	5ss	17
133569300	5ss	145
133570879	3ss	145
133570980	5ss	234
133572969	3ss	234
133573014	5ss	210
133573549	3ss	188
133573638	5ss	232
133574716	3ss	254
133574781	5ss	294
133576254	3ss	294
133576322	5ss	231
133577521	3ss	231
133577697	5ss	116
133578440	3ss	116
133578568	5ss	236
133579081	3ss	236
133580352	3ss	105
133580488	5ss	101
133589842	5ss	36
133595854	3ss	18
133595951	5ss	23
1335985	3ss	17
133602336	3ss	101
133602491	5ss	132
133607495	5ss	23
133609211	3ss	23
133609394	5ss	66
133620495	3ss	66
133622644	3ss	132
133622822	5ss	277
133624667	5ss	15
133625339	3ss	15
133627620	5ss	20
133632420	3ss	20
133632466	5ss	30
133632638	3ss	30
133632714	5ss	39
133634060	3ss	39
133659815	5ss	28
133660052	3ss	28
133660147	5ss	33
133677573	3ss	33
133677639	5ss	23
133682096	3ss	23
133682245	3ss	277
133682386	5ss	87
133689665	3ss	87
133689843	5ss	85
133692429	3ss	85
133692588	5ss	81
133703530	3ss	23
133703579	5ss	17
133707330	5ss	46
133710074	3ss	46
133710154	5ss	67
133710912	5ss	66
133712360	3ss	67
133712385	5ss	44
133716410	3ss	44
133716499	5ss	87
133721111	5ss	23
133724016	3ss	87
133724104	5ss	157
133725916	3ss	157
133727614	3ss	23
133729451	3ss	102
133729624	5ss	82
133730188	3ss	82
133730483	5ss	129
133738150	3ss	129
133738422	5ss	70
133747516	3ss	70
133747600	5ss	120
133748059	5ss	70
133748247	3ss	120
133748424	5ss	162
133749044	3ss	81
133750255	3ss	162
133750439	5ss	79
133753535	3ss	70
133753700	5ss	122
133753802	3ss	79
133753954	5ss	117
133754086	3ss	122
133754198	5ss	66
133755455	3ss	117
133755544	5ss	145
133755887	3ss	145
133756051	5ss	152
133757472	3ss	66
133757649	5ss	105
133758272	5ss	12
133758532	3ss	12
133758616	5ss	20
133758799	3ss	105
133758963	5ss	97
133759356	3ss	152
133761034	3ss	97
133761295	5ss	139
133764458	3ss	20
133764658	5ss	10
133767768	3ss	17
133767892	5ss	30
133768075	3ss	10
133768201	5ss	13
133768494	3ss	13
133768589	5ss	13
133769188	3ss	139
133770119	5ss	28
133777694	3ss	30
133777786	5ss	39
133778730	3ss	41
133782252	3ss	39
133782318	5ss	52
133783473	3ss	52
133783615	5ss	36
133783759	3ss	36
133785996	5ss	18
133787891	5ss	41
133789704	3ss	18
133789869	5ss	19
133790038	3ss	12
133790042	3ss	29
133790157	5ss	78
133802601	3ss	19
133802737	5ss	28
133804170	3ss	28
133804253	5ss	14
133806656	3ss	78
133806827	5ss	67
133806979	3ss	67
133807063	5ss	65
133811018	3ss	65
133811106	5ss	34
133811418	5ss	10
133816064	3ss	44
133816277	5ss	89
133816857	3ss	11
133816860	3ss	78
133816985	5ss	32
133823291	3ss	32
133823373	5ss	35
133826882	3ss	35
133827134	5ss	80
133827244	3ss	14
133827333	5ss	11
133829133	3ss	80
133829321	5ss	35
133829584	3ss	35
133829790	5ss	52
133833859	3ss	11
133834176	5ss	10
133836249	3ss	52
133836305	5ss	65
133836459	3ss	10
133836573	5ss	11
133837509	3ss	65
133837616	5ss	43
133844194	3ss	11
133844315	5ss	12
133844480	3ss	43
133844644	5ss	34
133846153	3ss	12
133848785	3ss	34
133848966	5ss	85
133849957	3ss	85
133850056	5ss	33
133851632	3ss	33
133851827	5ss	38
133854760	3ss	38
133855120	5ss	39
133856401	3ss	39
133856563	5ss	66
133858026	3ss	66
133861701	5ss	33
133871548	3ss	33
133871605	5ss	82
133873679	3ss	82
133873773	5ss	92
133887742	3ss	92
133887899	5ss	76
133895520	3ss	76
133895680	5ss	85
133896436	3ss	85
133896647	5ss	57
133897890	3ss	57
133898057	5ss	71
133900184	3ss	71
133900300	5ss	79
133901806	3ss	79
133902270	5ss	40
133909335	3ss	40
133909452	5ss	61
133912458	3ss	61
133912586	5ss	35
133914184	3ss	35
133984863	5ss	145
133993305	5ss	11
133995622	3ss	11
133996809	3ss	145
133997276	5ss	254
134001136	5ss	59
134002513	3ss	254
134002686	5ss	78
134002911	3ss	59
134003106	5ss	12
134003719	3ss	12
134003870	5ss	35
134004666	3ss	35
134004864	5ss	38
134006153	3ss	38
134006223	5ss	48
134007499	3ss	78
134007576	5ss	135
134007983	3ss	48
134008046	5ss	49
134008493	3ss	49
134008596	5ss	39
134010285	3ss	39
134010305	3ss	135
134010391	5ss	43
134010465	5ss	94
134010735	3ss	94
134010907	5ss	176
134011327	3ss	43
134011393	5ss	50
134011713	3ss	176
134011815	5ss	82
134014668	3ss	50
134014794	5ss	51
134015292	3ss	82
134015418	5ss	212
134015936	3ss	51
134016097	5ss	97
134018063	3ss	212
134018172	5ss	223
134019667	3ss	97
134020141	5ss	66
134021516	3ss	54
134021549	3ss	12
134021691	5ss	44
134022480	3ss	223
134022592	5ss	163
134022877	3ss	44
134022971	5ss	25
134023871	3ss	163
134023989	5ss	144
134025711	3ss	25
134025797	5ss	45
134026003	3ss	45
134026152	5ss	38
134027123	3ss	38
134027281	5ss	87
134028292	3ss	144
134028347	5ss	135
134029417	3ss	135
134029623	5ss	194
134032816	3ss	194
134032936	5ss	79
134033589	3ss	79
134033747	5ss	69
1340343	3ss	13
134034770	3ss	87
134034873	5ss	93
134038378	3ss	93
134038560	5ss	101
134039257	3ss	101
134039342	5ss	107
134039448	3ss	107
134039449	3ss	69
134039531	5ss	69
134039622	5ss	117
134041017	3ss	117
134041127	5ss	196
134044403	3ss	196
134044578	5ss	132
134049442	3ss	69
134049705	5ss	75
134050714	3ss	132
134050847	3ss	75
134050851	5ss	239
134051008	5ss	29
134053698	3ss	29
134053759	3ss	239
134053797	5ss	54
134053863	5ss	203
134056688	3ss	203
134056780	5ss	166
134059257	3ss	166
134059360	5ss	43
134060670	3ss	43
134062676	3ss	54
134062751	5ss	53
134064440	3ss	53
134064518	5ss	32
134067595	3ss	32
134067679	5ss	59
134070620	3ss	59
134070681	5ss	60
134072603	3ss	60
134074402	5ss	26
134074482	5ss	53
134076753	3ss	53
134077034	3ss	26
134077104	5ss	43
134077213	5ss	28
134079677	3ss	28
134079742	5ss	64
134086449	3ss	64
134090599	3ss	43
134090755	5ss	52
134094645	5ss	125
134095239	5ss	71
134098165	3ss	52
134098317	5ss	35
134099594	3ss	125
134099782	5ss	120
134102607	3ss	120
134102750	5ss	172
134103547	3ss	35
134103718	5ss	47
134104791	3ss	71
134104947	5ss	100
134106017	3ss	47
134106156	5ss	54
134106593	3ss	172
134106689	5ss	160
134107671	3ss	54
134107695	5ss	76
134108841	3ss	76
134109386	3ss	160
134109551	5ss	174
134109885	3ss	100
134110049	5ss	82
134113013	3ss	82
134113188	5ss	101
134113264	3ss	174
134113415	5ss	82
134114832	3ss	101
134114974	5ss	50
134115338	3ss	50
134116823	3ss	82
134116936	5ss	131
134117611	3ss	131
134117776	5ss	153
134118635	3ss	153
134118755	5ss	151
134120056	3ss	151
134120231	5ss	159
134121155	3ss	159
134121276	5ss	138
134123603	5ss	36
134124203	3ss	138
134124281	5ss	109
134126160	3ss	109
134126242	5ss	145
134126442	3ss	36
134126542	5ss	44
134126982	3ss	44
134127151	5ss	38
134128409	3ss	38
134128518	5ss	61
134128902	3ss	61
134128978	5ss	24
134129502	3ss	24
134129639	5ss	49
134130540	3ss	145
134130704	5ss	86
134130938	3ss	49
134131073	5ss	39
134131169	3ss	39
134131266	5ss	29
134131632	3ss	29
134131678	3ss	86
134131784	5ss	36
134131840	5ss	162
134132414	3ss	36
134132516	5ss	22
134134802	3ss	22
134143438	3ss	162
134143631	5ss	103
134146911	3ss	103
134147048	5ss	189
134147386	3ss	189
134147535	5ss	147
134152120	3ss	147
