C2_pos	ss	C2_reads
150316737	5ss	285
150316910	3ss	285
150317023	5ss	208
150318494	3ss	208
150318612	5ss	198
150318884	3ss	198
150318967	5ss	168
150321286	5ss	276
150321633	3ss	168
150321694	5ss	153
150325159	3ss	14
150325289	5ss	15
150325309	3ss	153
150327197	3ss	15
150337395	5ss	77
150340172	3ss	276
150340282	5ss	209
150340830	3ss	209
150340956	5ss	233
150342599	3ss	233
150342686	5ss	435
150344797	3ss	435
150344950	5ss	329
150345446	3ss	329
150390072	3ss	77
150390201	5ss	45
150400302	5ss	193
150404901	3ss	193
150405054	5ss	194
150406461	3ss	194
150406578	5ss	202
150406993	3ss	202
150407092	5ss	203
150407470	3ss	203
150413399	3ss	45
150413499	5ss	70
150414357	3ss	54
150414434	5ss	62
150415707	3ss	78
150415759	5ss	92
150416727	3ss	92
150416853	5ss	132
150418702	3ss	132
150418877	5ss	64
150429764	3ss	64
150430046	5ss	76
150432536	3ss	76
150432793	5ss	116
150437003	3ss	116
150437203	5ss	70
150443037	3ss	70
150444218	5ss	11
150444359	3ss	11
15045383	3ss	30
15045493	5ss	105
150459992	5ss	107
150460334	3ss	107
150460530	5ss	32
15046064	3ss	19
15046120	5ss	22
150461440	3ss	32
150461563	5ss	64
150463077	3ss	64
150463201	5ss	52
150463870	3ss	52
150463987	5ss	63
150464074	3ss	63
150464138	5ss	76
150464887	3ss	76
150464965	5ss	88
150468958	3ss	77
150469104	5ss	81
150469286	3ss	81
150469384	5ss	65
150470006	3ss	76
150470223	5ss	93
150470978	3ss	93
150471140	5ss	48
150471373	3ss	48
150471510	5ss	69
150471692	3ss	69
150471769	5ss	80
150476811	3ss	80
150476911	5ss	49
150477108	3ss	49
150477209	5ss	38
150477382	3ss	38
150477454	5ss	52
150478067	3ss	52
150478181	5ss	108
150479392	3ss	108
150525076	5ss	14
150525374	3ss	14
150525729	5ss	41
150525902	3ss	41
150526598	5ss	28
150526841	3ss	28
150526943	5ss	13
150527905	3ss	13
150528041	5ss	17
150528638	3ss	17
150528842	5ss	19
150529097	3ss	19
150529269	5ss	25
150529415	3ss	25
150529526	5ss	22
150529626	3ss	22
150529811	5ss	11
150529970	3ss	11
150530099	5ss	14
150530421	3ss	14
150530625	5ss	24
150530949	3ss	24
150531125	5ss	11
150531438	3ss	11
150531641	5ss	16
150531763	3ss	16
150531942	5ss	33
150532237	3ss	33
150532381	5ss	47
150532536	3ss	47
15055096	3ss	108
15055296	5ss	64
150565833	5ss	120
150572103	3ss	120
150572212	5ss	160
150573388	3ss	160
15057659	3ss	64
15057761	5ss	54
15062260	3ss	54
15062439	5ss	101
150632858	5ss	68
150639316	3ss	68
150639477	5ss	92
150646292	3ss	92
150646474	5ss	108
150646857	3ss	108
15064707	3ss	101
15064854	5ss	73
15065622	3ss	73
15065715	5ss	97
15069077	5ss	281
15070093	3ss	97
15070226	5ss	130
15071782	3ss	130
15071959	5ss	108
150725697	5ss	107
150730692	3ss	107
150731004	5ss	60
150731360	3ss	60
150731515	5ss	76
150731592	3ss	76
150731686	5ss	74
150731811	3ss	74
150731916	5ss	56
150732668	3ss	56
150732829	5ss	83
150732969	3ss	83
150733054	5ss	68
150733160	3ss	68
150733257	5ss	38
150733631	3ss	38
150733736	5ss	25
150734328	3ss	13
150737355	3ss	12
150737388	5ss	27
150737585	3ss	27
150737721	5ss	54
150737915	3ss	54
150738009	5ss	58
150738186	3ss	58
150738319	5ss	42
15073886	3ss	108
150739048	3ss	42
150739195	5ss	55
15074007	5ss	66
150741058	3ss	55
150741308	5ss	48
150742296	3ss	48
150756849	5ss	189
150759012	3ss	189
150759125	5ss	330
150759750	5ss	128
150760276	5ss	26
150761289	3ss	484
150761454	5ss	967
150761613	3ss	967
15076177	3ss	66
150761854	5ss	576
150761935	3ss	576
150762053	5ss	71
15076316	5ss	42
150763604	3ss	71
150763848	5ss	412
150763938	3ss	412
150764080	5ss	571
150764961	3ss	571
150765141	5ss	661
150767034	3ss	661
150767169	5ss	500
150767268	3ss	500
150767433	5ss	507
150767544	3ss	507
150767658	5ss	355
150767814	3ss	355
150767998	5ss	384
150768159	3ss	384
150768384	5ss	367
150768477	3ss	357
150768692	5ss	437
150768776	3ss	447
150768924	5ss	388
150769029	3ss	388
150769223	5ss	492
150771126	3ss	492
150771380	5ss	514
150771486	3ss	514
150771575	5ss	473
150771762	3ss	473
150771928	5ss	394
150772342	3ss	394
150772595	5ss	505
150772693	3ss	505
150772862	5ss	695
150773100	3ss	695
150773273	5ss	613
150773374	3ss	613
150784159	5ss	134
15079507	3ss	42
15079644	5ss	94
15080629	3ss	94
15080734	5ss	126
150813880	3ss	134
150813938	5ss	145
150814182	3ss	145
150814269	5ss	116
150814458	3ss	116
150814543	5ss	73
150814723	3ss	73
150814864	5ss	167
150815297	3ss	167
150815431	5ss	80
150815592	3ss	80
150815719	5ss	241
150817074	3ss	241
150817232	5ss	79
150819812	3ss	26
150820881	3ss	53
150820973	5ss	69
150825667	3ss	69
150825771	5ss	76
150827374	5ss	23
150831487	3ss	76
150831655	5ss	81
150835230	3ss	31
150835400	5ss	47
150837066	3ss	47
150837203	5ss	44
150838349	3ss	23
150838496	5ss	22
150838985	3ss	94
150839139	5ss	88
150839250	3ss	88
150839340	5ss	69
150839499	3ss	69
150839721	5ss	102
150840428	3ss	102
150840683	5ss	74
150840824	3ss	74
150843114	3ss	22
15084341	3ss	126
150844163	5ss	14
150844635	3ss	14
150844730	5ss	20
150846760	3ss	20
150846844	5ss	33
150847268	3ss	33
150847486	5ss	17
150853234	3ss	17
150853332	5ss	19
150856151	3ss	19
150856317	5ss	22
150858881	3ss	22
150859050	5ss	36
150867544	3ss	36
150898993	5ss	70
150900180	3ss	70
150900450	5ss	158
150902443	3ss	158
150902594	5ss	62
150912416	3ss	62
150912450	5ss	68
150913805	3ss	68
150913904	5ss	145
150915039	3ss	145
150915164	5ss	167
150915328	3ss	167
150915529	5ss	106
15091610	3ss	281
150916396	3ss	106
150916469	5ss	148
15091683	5ss	234
150917394	3ss	148
150917584	5ss	78
150919362	3ss	78
150919488	5ss	85
150921598	3ss	85
150921754	5ss	108
150921843	3ss	81
150921846	3ss	27
15092197	3ss	223
15092200	3ss	11
150922001	5ss	127
15092262	5ss	251
150922934	3ss	127
150923566	5ss	94
150923841	3ss	94
150923957	5ss	92
150931360	5ss	98
150931654	3ss	92
150931823	5ss	54
150932134	3ss	98
150932698	5ss	63
150933039	3ss	54
150933494	3ss	63
150933667	5ss	58
150933676	5ss	61
150934460	3ss	61
150934606	3ss	58
150934634	5ss	80
150935063	3ss	80
150935195	5ss	113
150935450	3ss	113
150935615	5ss	107
150936006	3ss	107
150936217	5ss	112
150936471	3ss	112
150936559	5ss	103
150936723	3ss	103
150938219	5ss	14
150938308	3ss	14
150954855	5ss	55
150954963	3ss	55
150955059	5ss	40
150955566	3ss	40
150955656	5ss	56
150955814	3ss	56
150955910	5ss	59
15095633	3ss	215
150956451	3ss	59
150956545	5ss	49
150956757	3ss	49
150956870	5ss	106
150957062	3ss	106
15095713	5ss	169
150957152	5ss	57
150958812	3ss	57
150958891	5ss	61
150959078	3ss	61
150959137	5ss	52
150960348	3ss	52
150960432	5ss	40
150960567	3ss	40
150960662	5ss	69
150960759	3ss	69
150960817	5ss	55
150967053	3ss	55
150967175	5ss	63
150967736	3ss	63
150971922	5ss	21
15098044	3ss	205
150981147	5ss	27
15098190	5ss	133
150990288	3ss	27
150991145	5ss	50
150997087	3ss	50
150997271	5ss	74
150997991	3ss	74
150998149	5ss	38
150999709	3ss	38
150999803	5ss	34
151001262	3ss	16
151001420	5ss	78
15100251	3ss	133
15100440	5ss	326
151006282	3ss	96
151021328	5ss	10
151022914	3ss	10
15102636	3ss	326
15102704	5ss	287
151033029	5ss	318
15103538	3ss	287
15103616	5ss	145
151038932	5ss	37
151039695	3ss	318
151042434	3ss	37
151042552	5ss	167
151046159	3ss	167
151046326	5ss	185
151048510	3ss	185
151048568	5ss	171
151049898	3ss	171
151049968	5ss	240
151052854	3ss	240
151053036	5ss	301
151053214	3ss	289
151053217	3ss	12
151053308	5ss	197
151054720	3ss	21
151055228	5ss	36
151057227	3ss	197
151057333	5ss	148
151058000	5ss	10
151058145	3ss	10
151064025	3ss	148
151064211	5ss	137
151064947	3ss	137
151065054	5ss	165
151065821	3ss	165
151065973	5ss	166
151071183	3ss	166
151071287	5ss	70
151072934	3ss	70
151073029	5ss	103
151073720	3ss	103
151073897	5ss	136
151074133	3ss	136
151089774	3ss	36
151089874	5ss	26
15109986	3ss	145
15110070	5ss	76
151107526	3ss	26
151107595	5ss	48
15110977	3ss	76
15111025	5ss	180
15111178	3ss	180
15111279	5ss	379
151116992	3ss	48
151117038	5ss	48
151121855	3ss	48
151122005	5ss	53
151125746	3ss	53
151125877	5ss	40
15112697	3ss	379
15112822	5ss	295
151130241	3ss	40
151130423	5ss	21
151130517	3ss	21
151130612	5ss	47
151130784	3ss	47
151130870	5ss	17
151138679	5ss	223
151138728	5ss	16
151138947	3ss	239
151139017	5ss	240
151139319	3ss	17
151139352	5ss	14
151139410	3ss	240
151139498	5ss	203
151139597	3ss	203
151139694	5ss	311
151139802	3ss	311
151139890	5ss	247
151140620	3ss	232
151140670	3ss	15
151140814	5ss	194
151140815	3ss	14
151140910	5ss	20
151141462	3ss	194
151142331	3ss	20
151151597	5ss	487
151153341	5ss	12
151160969	3ss	12
15116561	3ss	295
15116611	5ss	414
151166133	3ss	324
151166164	3ss	163
151166276	5ss	654
151169884	3ss	654
151169965	5ss	945
151170450	3ss	945
151170623	5ss	420
151171557	5ss	184
151173720	3ss	420
151173810	5ss	785
151175040	3ss	785
151175136	5ss	1290
151176788	3ss	1290
151176989	5ss	1237
151178773	3ss	1237
151178874	5ss	1464
151179450	3ss	1464
151179561	5ss	945
151179779	3ss	945
151179907	5ss	710
151180321	3ss	710
151180430	5ss	620
151183446	3ss	620
151187185	5ss	82
151196721	3ss	77
151196724	3ss	107
151196755	5ss	151
151197226	3ss	82
151197310	5ss	282
151198770	3ss	282
151198820	5ss	337
151198909	3ss	337
151198962	5ss	219
151199796	3ss	151
151199876	5ss	168
151203898	3ss	219
151204022	5ss	258
151204147	3ss	168
151204277	5ss	305
151204724	3ss	305
151204841	5ss	245
15120500	3ss	414
151205027	3ss	245
151205179	5ss	196
15120563	5ss	483
151206673	3ss	196
151206770	3ss	258
151206870	5ss	122
151206972	5ss	140
151208978	3ss	61
151208981	3ss	61
151209034	3ss	140
151209117	5ss	170
151209239	5ss	126
151210658	3ss	126
151210741	5ss	98
151211606	3ss	98
151211654	5ss	120
151212431	3ss	120
151212515	5ss	190
151214599	3ss	190
151214745	5ss	149
151214914	3ss	149
151215043	5ss	121
151219396	3ss	121
151219441	5ss	150
151219996	3ss	42
151220339	3ss	150
151226786	3ss	128
151226897	5ss	74
151227284	5ss	550
15122735	3ss	483
15122823	5ss	330
151234637	3ss	506
151234777	5ss	1405
151236390	3ss	1434
151236504	5ss	1642
151237308	3ss	1657
151237394	5ss	1273
151237642	3ss	1273
151237710	5ss	992
151237870	3ss	992
15123808	3ss	330
151238085	5ss	513
151238480	3ss	513
151238588	5ss	702
151238597	5ss	42
151238784	3ss	744
151238915	5ss	1485
151238996	3ss	1485
151239063	5ss	1257
15123913	5ss	349
151239649	3ss	1257
151239713	3ss	74
151239804	5ss	84
151243341	3ss	84
151243438	5ss	108
151247258	3ss	108
151247431	5ss	95
151254871	5ss	24
15125592	3ss	349
151256282	5ss	12
15125763	5ss	237
151257940	3ss	107
151258076	5ss	111
151258751	3ss	24
151259835	3ss	111
151259881	5ss	123
151260882	5ss	106
151261004	3ss	106
151261182	5ss	67
151261571	3ss	67
151261747	5ss	105
151261854	3ss	105
151262016	5ss	42
151262154	3ss	42
151262483	5ss	51
151262598	3ss	51
151262710	5ss	32
151262908	3ss	32
151263049	5ss	36
151263191	3ss	36
151265622	3ss	123
151265729	5ss	118
151266603	3ss	118
151266677	5ss	171
15126718	3ss	237
15126836	5ss	309
151270167	3ss	171
151270269	5ss	151
15127135	3ss	309
15127256	5ss	292
151277131	3ss	151
151277207	5ss	175
151281411	3ss	175
15128143	3ss	292
151281551	5ss	127
15128235	5ss	433
15128314	3ss	433
15128410	5ss	178
151286105	3ss	127
151286173	5ss	79
15129306	3ss	178
151293083	3ss	79
151293194	5ss	75
15129410	5ss	168
15129873	3ss	168
151330955	3ss	75
151331094	5ss	58
151334915	3ss	58
151334956	5ss	74
151336016	3ss	74
151336116	5ss	112
151336652	3ss	112
151336829	5ss	180
151355629	3ss	180
151355736	5ss	168
151358101	3ss	168
151358253	5ss	119
151372203	5ss	2015
151372457	3ss	2015
151372663	5ss	2854
151372918	3ss	2854
151373064	5ss	2215
151373240	3ss	2215
151373321	5ss	2640
151373715	3ss	2640
151373831	5ss	3993
151374018	3ss	3993
151374106	5ss	2758
151374293	3ss	2758
15139765	5ss	10
151413603	3ss	119
151413723	5ss	111
151422662	3ss	111
15144217	3ss	10
15144335	5ss	34
15145304	3ss	34
151483991	5ss	37
151490982	3ss	37
151491868	5ss	67
151492642	3ss	67
151492742	5ss	87
151492890	3ss	87
151492959	5ss	137
151493072	3ss	137
151493167	5ss	107
151495910	3ss	107
151496037	5ss	69
151496702	3ss	69
151496834	5ss	108
151497150	3ss	108
151497362	5ss	108
151498118	3ss	108
151498266	5ss	99
151499451	3ss	99
151499583	5ss	77
151501826	3ss	77
151502035	5ss	80
151502385	3ss	80
151502591	5ss	61
151502965	3ss	61
151503222	5ss	75
151504878	3ss	75
151505048	5ss	87
151506451	3ss	87
151506612	5ss	69
151507518	3ss	69
151507607	5ss	48
151508076	3ss	48
151508159	5ss	61
151508256	3ss	61
151508374	5ss	75
151508713	3ss	75
151508821	5ss	72
151509206	3ss	72
151509369	5ss	44
151509681	3ss	44
151512902	5ss	17
151532088	5ss	22
151535061	3ss	17
151535154	3ss	22
151535162	5ss	59
151536380	3ss	59
151536466	5ss	43
151537001	3ss	43
151537090	5ss	32
151538639	3ss	32
151538704	5ss	47
151542133	3ss	47
151542246	5ss	96
151542622	5ss	13
151545364	3ss	13
151546746	3ss	96
151546874	5ss	22
151547387	3ss	22
151547481	5ss	23
151551197	3ss	23
151551302	5ss	26
151552125	3ss	26
151552208	5ss	42
151553418	3ss	42
151553518	5ss	46
151554120	3ss	46
151584988	5ss	26
151611364	3ss	26
151611595	5ss	69
151630711	3ss	69
151630903	5ss	87
151633274	3ss	87
151633338	5ss	79
151634642	3ss	79
151634746	5ss	57
151638409	3ss	57
151638487	5ss	55
151640948	3ss	55
151641111	5ss	47
151655832	3ss	47
151655921	5ss	90
151664911	3ss	90
151665060	5ss	51
151665387	3ss	51
151665515	5ss	47
151665900	3ss	47
151665959	5ss	30
151666846	3ss	30
151722969	5ss	82
1517315	3ss	30
1517413	5ss	37
151773721	5ss	274
151775683	3ss	274
151775788	5ss	194
151776372	3ss	11
151776493	5ss	14
151779463	3ss	194
151779707	5ss	475
151785588	3ss	475
151785753	5ss	187
151789478	3ss	187
151791275	3ss	85
151791607	5ss	133
151797883	3ss	133
151798006	5ss	120
151800197	3ss	120
151800363	5ss	121
151802330	3ss	121
151802455	5ss	78
151805123	3ss	78
151805372	5ss	117
151807613	3ss	117
151807730	5ss	119
151810331	3ss	119
151810483	5ss	144
151814242	3ss	144
151814460	5ss	121
151815763	3ss	121
151815867	5ss	69
151817916	3ss	69
151818053	5ss	82
151818631	3ss	82
15198265	5ss	13
15198337	3ss	13
151986881	5ss	191
151999661	5ss	178
152000178	3ss	14
152000244	5ss	24
152014826	3ss	188
152014976	5ss	170
152017043	5ss	25
152017194	3ss	216
152018156	5ss	312
152018809	3ss	170
152018967	5ss	164
152020866	5ss	5417
152021637	3ss	5417
152021740	5ss	4294
152022127	3ss	4294
152022314	5ss	2894
152024023	3ss	2894
152024231	5ss	8486
152025329	3ss	8469
152025438	5ss	12638
152025624	3ss	12655
152027314	3ss	164
152027460	5ss	249
152031140	3ss	249
152031268	5ss	223
152034363	3ss	223
152034505	5ss	165
152036115	3ss	165
152036217	5ss	228
152037328	3ss	228
152132730	3ss	312
152132900	5ss	190
152150506	3ss	179
152150709	5ss	177
152163071	3ss	188
152163328	5ss	299
152164493	3ss	234
152164546	5ss	273
152165409	3ss	338
152165562	5ss	217
152173331	3ss	136
152173366	5ss	124
152174056	3ss	205
152174150	5ss	202
152177060	3ss	202
152177134	5ss	275
152180174	3ss	275
15222250	5ss	17
15222443	3ss	17
15223382	5ss	12
15224371	3ss	12
152266547	5ss	15
152266928	3ss	15
152267041	5ss	72
152267774	3ss	72
152267852	5ss	76
152271337	3ss	76
152271433	5ss	69
152273075	3ss	69
152273202	5ss	171
152273321	3ss	171
152273415	5ss	212
152276704	3ss	212
152276893	5ss	130
152279464	3ss	130
152279556	5ss	160
152285298	3ss	160
152285436	5ss	66
152289591	3ss	66
152289742	5ss	134
152291977	3ss	134
152292094	5ss	151
152293341	3ss	151
152293517	5ss	294
152293755	3ss	294
152293865	5ss	61
152295198	3ss	61
152295260	5ss	66
152296541	3ss	66
152296641	5ss	91
152298419	3ss	91
152298505	5ss	101
152299773	3ss	101
152299843	5ss	107
152300043	3ss	107
152300223	5ss	149
152301852	3ss	149
152301959	5ss	136
152302940	3ss	136
152303089	5ss	230
152308120	3ss	230
152308219	5ss	176
152311409	3ss	176
152311673	5ss	245
152313092	3ss	245
152313134	5ss	299
152314275	3ss	299
152314477	5ss	186
152315325	3ss	186
152315424	5ss	129
152316514	3ss	129
152316633	5ss	121
152317652	3ss	121
152317803	5ss	160
152318756	3ss	160
152318836	5ss	172
152318926	3ss	172
152318980	5ss	168
152319398	3ss	168
152322634	5ss	134
152324514	3ss	134
152324660	5ss	269
152324988	3ss	187
152325065	5ss	179
152325155	3ss	261
152325270	5ss	127
152326225	3ss	127
152326378	5ss	78
152330478	3ss	78
152330586	5ss	176
152331371	3ss	176
152331733	5ss	13
152339713	3ss	13
15246815	5ss	39
152480327	5ss	14
15248104	5ss	86
152497616	3ss	14
152497740	5ss	62
152498706	3ss	62
152498816	5ss	72
152511635	3ss	72
152511730	5ss	63
152513566	3ss	63
152513673	5ss	18
152517384	3ss	18
152517527	5ss	38
152520427	3ss	38
152520600	5ss	63
152522115	3ss	63
152522207	5ss	23
15253611	3ss	86
15253719	5ss	128
152549211	3ss	23
152549336	5ss	13
152550579	3ss	13
152550662	5ss	13
152551543	3ss	13
15258932	3ss	128
15259089	5ss	180
15259980	3ss	180
15260047	5ss	243
15262288	3ss	243
15262488	5ss	221
15264982	3ss	221
15265068	5ss	292
15269346	3ss	292
15269472	5ss	467
15270481	3ss	467
15270566	5ss	185
15271949	3ss	185
15272042	5ss	171
15273618	3ss	37
15273665	5ss	31
15274026	3ss	165
15274172	5ss	219
15275374	3ss	219
15275480	5ss	206
15276532	3ss	206
15276652	5ss	164
152770327	5ss	14
152770696	3ss	14
152771534	5ss	13
152771987	3ss	13
152772097	5ss	21
152772288	3ss	21
15281980	3ss	164
15282124	5ss	216
15282261	3ss	216
15282360	5ss	210
15282960	3ss	159
15283095	5ss	287
15283685	3ss	338
15283760	5ss	408
15287033	3ss	408
15287178	5ss	276
15288239	3ss	276
15288301	5ss	330
15288834	3ss	330
15288964	5ss	146
152908065	5ss	257
152912879	5ss	150
152913373	3ss	407
152913780	5ss	550
152914687	3ss	537
152914958	3ss	13
152915142	5ss	1934
152915435	3ss	1934
15292438	3ss	146
15292530	5ss	170
15292623	3ss	170
152954291	5ss	10
152955830	3ss	10
152955961	5ss	27
152956759	3ss	27
152957008	5ss	26
152957430	3ss	26
152957562	5ss	15
152958496	3ss	15
152958630	5ss	28
152958718	3ss	28
152958821	5ss	13
152958917	3ss	13
152959472	5ss	10
152959585	3ss	10
152959901	5ss	12
152959988	3ss	12
152991621	5ss	12
152994687	3ss	12
152994867	5ss	19
153001566	3ss	19
153001708	5ss	26
153001799	3ss	26
153001967	5ss	10
153002611	3ss	10
153002705	5ss	10
153005546	3ss	10
153006173	5ss	27
153008441	3ss	27
153008525	5ss	31
153008675	3ss	31
153008800	5ss	27
153008943	3ss	27
153060209	5ss	1174
153061118	3ss	38
153061316	5ss	29
153061889	3ss	1136
153061894	3ss	29
153062007	5ss	879
153062913	3ss	865
153062987	5ss	810
153063180	3ss	824
153063269	5ss	907
153063526	3ss	907
153063591	5ss	832
153063784	3ss	832
153192234	5ss	79
153279555	5ss	13
153279601	3ss	13
153330357	5ss	189
153330745	3ss	189
153330909	5ss	423
153333120	3ss	423
153378457	3ss	79
153378540	5ss	116
153399253	3ss	116
153399333	5ss	130
153402621	5ss	30
153405535	3ss	130
153405611	5ss	94
153415254	3ss	94
153415337	5ss	107
153417397	3ss	107
153417549	5ss	100
153418571	5ss	14
153429117	3ss	14
153429577	5ss	139
153431650	3ss	100
153431758	5ss	181
153432480	3ss	139
153435402	3ss	181
153435478	5ss	183
153437470	3ss	183
153437563	5ss	145
153463853	3ss	145
153463927	5ss	142
153468009	3ss	142
153468119	5ss	98
153471365	3ss	98
153471514	5ss	152
153473605	3ss	152
153473706	5ss	221
153475360	3ss	221
153475672	5ss	85
153476023	3ss	85
153476232	5ss	101
153481850	3ss	17
153481952	3ss	101
153482076	5ss	235
153482082	5ss	15
153483039	3ss	235
153483241	5ss	154
153484813	3ss	154
153485047	5ss	137
153486170	3ss	137
153486238	5ss	92
153486339	3ss	92
153486419	5ss	75
153488522	3ss	75
153488651	5ss	118
153492941	3ss	118
153493104	5ss	142
153494087	3ss	142
153494188	5ss	142
153496472	3ss	142
153496570	5ss	278
153496947	3ss	28
153497305	3ss	278
153497428	5ss	154
153497612	5ss	24
153498847	3ss	24
153498958	5ss	14
153501948	3ss	154
153501994	5ss	61
153504310	3ss	61
153504976	3ss	14
153570585	5ss	11
153575538	5ss	195
153577047	3ss	195
153577100	5ss	241
153591508	3ss	241
153591640	5ss	268
153606819	5ss	203
153607926	5ss	60
153608050	3ss	60
153608154	5ss	146
153608302	3ss	146
153608379	5ss	120
153608594	3ss	120
153608727	5ss	88
153609048	3ss	203
153609113	3ss	88
153609129	5ss	230
153609162	5ss	112
153609242	3ss	112
153610771	3ss	230
153610924	5ss	391
153614719	3ss	222
153614722	3ss	169
153614905	5ss	347
153615703	3ss	297
153615840	5ss	119
153616261	3ss	268
153617540	3ss	169
153626735	5ss	348
153626739	5ss	12
153626838	3ss	360
153626883	5ss	4515
153627679	3ss	4515
153627737	5ss	6967
153627828	3ss	6967
153627935	5ss	7438
153628144	3ss	7438
153628282	5ss	6304
153628805	3ss	6219
153628967	5ss	5477
153629043	3ss	5562
153631362	5ss	118
153631614	3ss	118
153631660	5ss	77
153631924	3ss	77
153632042	5ss	140
153633676	3ss	140
153640551	5ss	20
153641544	3ss	20
153648433	5ss	15
153648551	3ss	15
153648603	5ss	15
153648997	3ss	15
153649074	5ss	13
153649242	3ss	13
153657199	5ss	106
153657394	3ss	106
153657520	5ss	212
153660176	3ss	212
153660250	5ss	255
153660612	3ss	255
153660805	5ss	306
153661277	3ss	306
153661317	5ss	256
153661981	3ss	256
153662066	5ss	312
153662554	3ss	312
153662792	5ss	355
153663485	3ss	355
153663532	5ss	401
153663620	3ss	401
153663851	5ss	308
153664028	3ss	308
153665645	5ss	117
153666869	3ss	117
153666976	5ss	142
153667111	3ss	142
153667210	5ss	167
153667352	3ss	167
153667486	5ss	115
153668288	3ss	115
153668486	5ss	149
153668722	3ss	149
153668853	5ss	115
153669443	3ss	115
153669542	5ss	115
153669970	3ss	115
153670141	5ss	124
153670458	3ss	124
153670602	5ss	154
153670721	3ss	154
153670775	5ss	208
153670867	3ss	208
153672693	5ss	103
153673981	3ss	103
153674065	5ss	173
153674160	3ss	173
153674259	5ss	277
153674376	3ss	11
153674478	5ss	48
153674763	3ss	277
153674908	5ss	203
153676832	3ss	203
153676908	5ss	264
153677038	3ss	264
153677104	5ss	229
153677241	3ss	229
153677302	5ss	230
153677501	3ss	48
153677569	3ss	230
153677639	5ss	77
153677645	5ss	199
153678029	3ss	199
153678083	5ss	190
153678231	3ss	190
153678279	5ss	175
153678377	3ss	175
153678447	5ss	247
153678557	3ss	247
153678667	5ss	208
153678772	3ss	208
153695136	5ss	12
153695400	3ss	12
153697312	5ss	13
153697399	3ss	13
153697558	5ss	12
153697722	3ss	12
153697825	5ss	11
153698031	3ss	11
153699981	5ss	14
153700933	3ss	14
153701243	5ss	16
153701260	5ss	94
153701378	5ss	47
153709132	3ss	77
153709298	5ss	53
153713127	3ss	94
153713210	5ss	210
153713761	3ss	210
153713844	5ss	162
153719433	3ss	162
153719546	5ss	134
153719755	3ss	134
153719839	5ss	112
153721165	3ss	112
153721231	5ss	139
153723571	3ss	139
153723715	5ss	110
153724755	3ss	110
153724884	5ss	142
153727118	3ss	142
153727215	5ss	138
153730048	3ss	138
153730239	5ss	179
153732002	3ss	179
153732089	5ss	264
153732787	3ss	264
153732866	5ss	171
153733303	3ss	171
153733394	5ss	99
153734046	3ss	99
153734152	5ss	149
153735204	3ss	149
153735323	5ss	167
153735709	3ss	167
153735838	5ss	154
153736308	3ss	154
153736362	5ss	144
153736594	3ss	144
153736697	5ss	114
153737166	3ss	114
153737210	5ss	176
153737420	3ss	176
153737539	5ss	108
153740150	3ss	108
153740303	5ss	77
153741369	3ss	77
153741437	5ss	97
153742245	3ss	97
153742320	5ss	180
153742674	3ss	180
153742787	5ss	189
153743161	3ss	189
153743209	5ss	218
15374348	3ss	39
153744272	3ss	218
153744439	5ss	205
153744816	3ss	205
15374483	5ss	28
153744916	5ss	215
153745115	3ss	215
153745187	5ss	224
153745401	3ss	224
153745557	5ss	186
153745669	3ss	186
153748640	5ss	12
153748994	3ss	12
153749203	5ss	16
153749538	3ss	16
153749696	5ss	11
153750237	3ss	11
153750361	5ss	37
153750637	3ss	37
153750777	3ss	63
153750878	5ss	69
153751361	5ss	25
153751590	3ss	25
153751687	5ss	47
153751819	3ss	47
153751949	5ss	22
153752302	3ss	22
153755837	3ss	53
153756022	5ss	58
153760008	3ss	58
153760191	5ss	23
153765873	3ss	23
153765990	5ss	49
153775960	5ss	17
153780203	3ss	17
153780404	5ss	50
153783664	3ss	49
153783771	5ss	22
153784380	3ss	50
153784758	3ss	69
153784866	5ss	83
153789101	3ss	22
153791905	3ss	69
153792000	5ss	31
153792565	5ss	39
153793604	3ss	45
153793716	5ss	85
153795343	3ss	39
153795492	5ss	45
153796374	3ss	45
153802115	3ss	85
153802336	5ss	74
153803875	3ss	74
153804032	5ss	87
153809285	3ss	87
153809459	5ss	79
153826365	5ss	63
153830651	3ss	63
153830773	5ss	133
153831216	3ss	79
153832016	3ss	12
153832962	3ss	121
153833060	5ss	123
153835460	3ss	123
153839308	5ss	11
153839731	3ss	11
153840864	5ss	16
153842199	3ss	16
153842238	5ss	13
153847363	3ss	13
153847508	5ss	26
153864707	5ss	23
153867178	3ss	26
153870721	5ss	28
153874651	3ss	23
153884036	5ss	11
153884175	3ss	11
153889249	5ss	12
153893529	3ss	12
153893693	5ss	19
153895827	3ss	19
153905474	3ss	28
153909207	5ss	10
153912433	3ss	10
153912507	5ss	19
153935658	3ss	19
153941115	5ss	10
153941406	3ss	10
153941652	5ss	29
153941810	3ss	29
153941931	5ss	28
153945220	3ss	28
153945312	5ss	42
153945448	3ss	42
153945554	5ss	25
153945671	3ss	25
153945739	5ss	37
153945856	3ss	37
153945940	5ss	40
153946096	3ss	40
153946192	5ss	47
153946348	3ss	47
153958368	5ss	12
153963278	5ss	11596
153963510	5ss	69
153963591	3ss	11665
153963699	5ss	20282
153964042	3ss	20282
153964152	5ss	9441
153964541	3ss	9441
153970905	3ss	12
153972613	5ss	20
153973120	3ss	20
153991256	5ss	171
153993174	3ss	171
153993241	5ss	347
