ENSG00000000003	TSPAN6	"tetraspanin 6"
ENSG00000157224	CLDN12	"claudin 12"
ENSG00000157227	MMP14	"matrix metallopeptidase 14"
ENSG00000157240	FZD1	"frizzled class receptor 1"
ENSG00000157259	GATAD1	"GATA zinc finger domain containing 1"
ENSG00000157303	SUSD3	"sushi domain containing 3"
ENSG00000157306	ZFHX2-AS1	"ZFHX2 antisense RNA 1"
ENSG00000157315	TMED6	"transmembrane p24 trafficking protein 6"
ENSG00000157322	CLEC18A	"C-type lectin domain family 18 member A"
ENSG00000157326	DHRS4	"dehydrogenase/reductase 4"
ENSG00000157330	C1orf158	"chromosome 1 open reading frame 158"
ENSG00000157335	CLEC18C	"C-type lectin domain family 18 member C"
ENSG00000157343	ARMC12	"armadillo repeat containing 12"
ENSG00000157349	DDX19B	"DEAD-box helicase 19B"
ENSG00000157350	ST3GAL2	"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"
ENSG00000157353	FUK	"fucokinase"
ENSG00000157368	IL34	"interleukin 34"
ENSG00000157379	DHRS1	"dehydrogenase/reductase 1"
ENSG00000157388	CACNA1D	"calcium voltage-gated channel subunit alpha1 D"
ENSG00000157399	ARSE	"arylsulfatase E (chondrodysplasia punctata 1)"
ENSG00000157404	KIT	"KIT proto-oncogene receptor tyrosine kinase"
ENSG00000157423	HYDIN	"HYDIN, axonemal central pair apparatus protein"
ENSG00000157426	AASDH	"aminoadipate-semialdehyde dehydrogenase"
ENSG00000157429	ZNF19	"zinc finger protein 19"
ENSG00000157445	CACNA2D3	"calcium voltage-gated channel auxiliary subunit alpha2delta 3"
ENSG00000157450	RNF111	"ring finger protein 111"
ENSG00000157456	CCNB2	"cyclin B2"
ENSG00000157470	FAM81A	"family with sequence similarity 81 member A"
ENSG00000157483	MYO1E	"myosin IE"
ENSG00000157500	APPL1	"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
ENSG00000157502	MUM1L1	"MUM1 like 1"
ENSG00000157510	AFAP1L1	"actin filament associated protein 1 like 1"
ENSG00000157514	TSC22D3	"TSC22 domain family member 3"
ENSG00000157538	VPS26C	"VPS26 endosomal protein sorting factor C"
ENSG00000157540	DYRK1A	"dual specificity tyrosine phosphorylation regulated kinase 1A"
ENSG00000157542	KCNJ6	"potassium voltage-gated channel subfamily J member 6"
ENSG00000157551	KCNJ15	"potassium voltage-gated channel subfamily J member 15"
ENSG00000157554	ERG	"ERG, ETS transcription factor"
ENSG00000157557	ETS2	"ETS proto-oncogene 2, transcription factor"
ENSG00000157570	TSPAN18	"tetraspanin 18"
ENSG00000157578	LCA5L	"LCA5L, lebercilin like"
ENSG00000157593	SLC35B2	"solute carrier family 35 member B2"
ENSG00000157600	TMEM164	"transmembrane protein 164"
ENSG00000157601	MX1	"MX dynamin like GTPase 1"
ENSG00000157613	CREB3L1	"cAMP responsive element binding protein 3 like 1"
ENSG00000157617	C2CD2	"C2 calcium dependent domain containing 2"
ENSG00000157625	TAB3	"TGF-beta activated kinase 1 and MAP3K7 binding protein 3"
ENSG00000157637	SLC38A10	"solute carrier family 38 member 10"
ENSG00000157653	C9orf43	"chromosome 9 open reading frame 43"
ENSG00000157654	PALM2-AKAP2	"PALM2-AKAP2 readthrough"
ENSG00000157657	ZNF618	"zinc finger protein 618"
ENSG00000157680	DGKI	"diacylglycerol kinase iota"
ENSG00000157693	TMEM268	"transmembrane protein 268"
ENSG00000157703	SVOPL	"SVOP like"
ENSG00000157734	SNX22	"sorting nexin 22"
ENSG00000157741	UBN2	"ubinuclein 2"
ENSG00000157764	BRAF	"B-Raf proto-oncogene, serine/threonine kinase"
ENSG00000157765	SLC34A2	"solute carrier family 34 member 2"
ENSG00000157766	ACAN	"aggrecan"
ENSG00000157778	PSMG3	"proteasome assembly chaperone 3"
ENSG00000157782	CABP1	"calcium binding protein 1"
ENSG00000157796	WDR19	"WD repeat domain 19"
ENSG00000157800	SLC37A3	"solute carrier family 37 member 3"
ENSG00000157823	AP3S2	"adaptor related protein complex 3 sigma 2 subunit"
ENSG00000157827	FMNL2	"formin like 2"
ENSG00000157833	GAREM2	"GRB2 associated regulator of MAPK1 subtype 2"
ENSG00000157837	SPPL3	"signal peptide peptidase like 3"
ENSG00000157851	DPYSL5	"dihydropyrimidinase like 5"
ENSG00000157856	DRC1	"dynein regulatory complex subunit 1"
ENSG00000157869	RAB28	"RAB28, member RAS oncogene family"
ENSG00000157870	FAM213B	"family with sequence similarity 213 member B"
ENSG00000157873	TNFRSF14	"TNF receptor superfamily member 14"
ENSG00000157881	PANK4	"pantothenate kinase 4"
ENSG00000157884	CIB4	"calcium and integrin binding family member 4"
ENSG00000157890	MEGF11	"multiple EGF like domains 11"
ENSG00000157895	C12orf43	"chromosome 12 open reading frame 43"
ENSG00000157911	PEX10	"peroxisomal biogenesis factor 10"
ENSG00000157916	RER1	"retention in endoplasmic reticulum sorting receptor 1"
ENSG00000157927	RADIL	"Rap associating with DIL domain"
ENSG00000157933	SKI	"SKI proto-oncogene"
ENSG00000157954	WIPI2	"WD repeat domain, phosphoinositide interacting 2"
ENSG00000157965	SSX8	"SSX family member 8, pseudogene"
ENSG00000157978	LDLRAP1	"low density lipoprotein receptor adaptor protein 1"
ENSG00000157985	AGAP1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
ENSG00000157992	KRTCAP3	"keratinocyte associated protein 3"
ENSG00000157999	ANKRD61	"ankyrin repeat domain 61"
ENSG00000158006	PAFAH2	"platelet activating factor acetylhydrolase 2"
ENSG00000158008	EXTL1	"exostosin like glycosyltransferase 1"
ENSG00000158014	SLC30A2	"solute carrier family 30 member 2"
ENSG00000158019	BABAM2	"BRISC and BRCA1 A complex member 2"
ENSG00000158022	TRIM63	"tripartite motif containing 63"
ENSG00000158023	WDR66	"WD repeat domain 66"
ENSG00000158042	MRPL17	"mitochondrial ribosomal protein L17"
ENSG00000158050	DUSP2	"dual specificity phosphatase 2"
ENSG00000158055	GRHL3	"grainyhead like transcription factor 3"
ENSG00000158062	UBXN11	"UBX domain protein 11"
ENSG00000158077	NLRP14	"NLR family pyrin domain containing 14"
ENSG00000158079	PTPDC1	"protein tyrosine phosphatase domain containing 1"
ENSG00000158089	GALNT14	"polypeptide N-acetylgalactosaminyltransferase 14"
ENSG00000158092	NCK1	"NCK adaptor protein 1"
ENSG00000158104	HPD	"4-hydroxyphenylpyruvate dioxygenase"
ENSG00000158106	RHPN1	"rhophilin Rho GTPase binding protein 1"
ENSG00000158109	TPRG1L	"tumor protein p63 regulated 1 like"
ENSG00000158113	LRRC43	"leucine rich repeat containing 43"
ENSG00000158122	AAED1	"AhpC/TSA antioxidant enzyme domain containing 1"
ENSG00000158125	XDH	"xanthine dehydrogenase"
ENSG00000158156	XKR8	"XK related 8"
ENSG00000158158	CNNM4	"cyclin and CBS domain divalent metal cation transport mediator 4"
ENSG00000158161	EYA3	"EYA transcriptional coactivator and phosphatase 3"
ENSG00000158163	DZIP1L	"DAZ interacting zinc finger protein 1 like"
ENSG00000158164	TMSB15A	"thymosin beta 15a"
ENSG00000158169	FANCC	"Fanconi anemia complementation group C"
ENSG00000158186	MRAS	"muscle RAS oncogene homolog"
ENSG00000158195	WASF2	"WAS protein family member 2"
ENSG00000158201	ABHD3	"abhydrolase domain containing 3"
ENSG00000158220	ESYT3	"extended synaptotagmin 3"
ENSG00000158234	FAIM	"Fas apoptotic inhibitory molecule"
ENSG00000158246	FAM46B	"family with sequence similarity 46 member B"
ENSG00000158258	CLSTN2	"calsyntenin 2"
ENSG00000158270	COLEC12	"collectin subfamily member 12"
ENSG00000158286	RNF207	"ring finger protein 207"
ENSG00000158290	CUL4B	"cullin 4B"
ENSG00000158292	GPR153	"G protein-coupled receptor 153"
ENSG00000158296	SLC13A3	"solute carrier family 13 member 3"
ENSG00000158301	GPRASP2	"G protein-coupled receptor associated sorting protein 2"
ENSG00000158315	RHBDL2	"rhomboid like 2"
ENSG00000158321	AUTS2	"AUTS2, activator of transcription and developmental regulator"
ENSG00000158352	SHROOM4	"shroom family member 4"
ENSG00000158373	HIST1H2BD	"histone cluster 1 H2B family member d"
ENSG00000158402	CDC25C	"cell division cycle 25C"
ENSG00000158406	HIST1H4H	"histone cluster 1 H4 family member h"
ENSG00000158411	MITD1	"microtubule interacting and trafficking domain containing 1"
ENSG00000158417	EIF5B	"eukaryotic translation initiation factor 5B"
ENSG00000158423	RIBC1	"RIB43A domain with coiled-coils 1"
ENSG00000158427	TMSB15B	"thymosin beta 15B"
ENSG00000158428	CATIP	"ciliogenesis associated TTC17 interacting protein"
ENSG00000158435	CNOT11	"CCR4-NOT transcription complex subunit 11"
ENSG00000158445	KCNB1	"potassium voltage-gated channel subfamily B member 1"
ENSG00000158457	TSPAN33	"tetraspanin 33"
ENSG00000158458	NRG2	"neuregulin 2"
ENSG00000158467	AHCYL2	"adenosylhomocysteinase like 2"
ENSG00000158470	B4GALT5	"beta-1,4-galactosyltransferase 5"
ENSG00000158473	CD1D	"CD1d molecule"
ENSG00000158477	CD1A	"CD1a molecule"
ENSG00000158480	SPATA2	"spermatogenesis associated 2"
ENSG00000158481	CD1C	"CD1c molecule"
ENSG00000158482	SNX29P1	"sorting nexin 29 pseudogene 1"
ENSG00000158483	FAM86C1	"family with sequence similarity 86 member C1"
ENSG00000158485	CD1B	"CD1b molecule"
ENSG00000158486	DNAH3	"dynein axonemal heavy chain 3"
ENSG00000158488	CD1E	"CD1e molecule"
ENSG00000158497	HMHB1	"histocompatibility minor HB-1"
ENSG00000158516	CPA2	"carboxypeptidase A2"
ENSG00000158517	NCF1	"neutrophil cytosolic factor 1"
ENSG00000158525	CPA5	"carboxypeptidase A5"
ENSG00000158526	TSR2	"TSR2, ribosome maturation factor"
ENSG00000158528	PPP1R9A	"protein phosphatase 1 regulatory subunit 9A"
ENSG00000158545	ZC3H18	"zinc finger CCCH-type containing 18"
ENSG00000158552	ZFAND2B	"zinc finger AN1-type containing 2B"
ENSG00000158553	POM121L2	"POM121 transmembrane nucleoporin like 2"
ENSG00000158555	GDPD5	"glycerophosphodiester phosphodiesterase domain containing 5"
ENSG00000158560	DYNC1I1	"dynein cytoplasmic 1 intermediate chain 1"
ENSG00000158571	PFKFB1	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"
ENSG00000158578	ALAS2	"5'-aminolevulinate synthase 2"
ENSG00000158604	TMED4	"transmembrane p24 trafficking protein 4"
ENSG00000158615	PPP1R15B	"protein phosphatase 1 regulatory subunit 15B"
ENSG00000158623	COPG2	"coatomer protein complex subunit gamma 2"
ENSG00000158636	EMSY	"EMSY, BRCA2 interacting transcriptional repressor"
ENSG00000158639	PAGE5	"PAGE family member 5"
ENSG00000158669	GPAT4	"glycerol-3-phosphate acyltransferase 4"
ENSG00000158683	PKD1L1	"polycystin 1 like 1, transient receptor potential channel interacting"
ENSG00000158691	ZSCAN12	"zinc finger and SCAN domain containing 12"
ENSG00000158710	TAGLN2	"transgelin 2"
ENSG00000158711	ELK4	"ELK4, ETS transcription factor"
ENSG00000158714	SLAMF8	"SLAM family member 8"
ENSG00000158715	SLC45A3	"solute carrier family 45 member 3"
ENSG00000158716	DUSP23	"dual specificity phosphatase 23"
ENSG00000158717	RNF166	"ring finger protein 166"
ENSG00000158731	OR10J6P	"olfactory receptor family 10 subfamily J member 6 pseudogene"
ENSG00000158747	NBL1	"neuroblastoma 1, DAN family BMP antagonist"
ENSG00000158748	HTR6	"5-hydroxytryptamine receptor 6"
ENSG00000158764	ITLN2	"intelectin 2"
ENSG00000158769	F11R	"F11 receptor"
ENSG00000158773	USF1	"upstream transcription factor 1"
ENSG00000158786	PLA2G2F	"phospholipase A2 group IIF"
ENSG00000158792	SPATA2L	"spermatogenesis associated 2 like"
ENSG00000158793	NIT1	"nitrilase 1"
ENSG00000158796	DEDD	"death effector domain containing"
ENSG00000158805	ZNF276	"zinc finger protein 276"
ENSG00000158806	NPM2	"nucleophosmin/nucleoplasmin 2"
ENSG00000158813	EDA	"ectodysplasin A"
ENSG00000158815	FGF17	"fibroblast growth factor 17"
ENSG00000158816	VWA5B1	"von Willebrand factor A domain containing 5B1"
ENSG00000158825	CDA	"cytidine deaminase"
ENSG00000158828	PINK1	"PTEN induced putative kinase 1"
ENSG00000158850	B4GALT3	"beta-1,4-galactosyltransferase 3"
ENSG00000158856	DMTN	"dematin actin binding protein"
ENSG00000158859	ADAMTS4	"ADAM metallopeptidase with thrombospondin type 1 motif 4"
ENSG00000158863	FAM160B2	"family with sequence similarity 160 member B2"
ENSG00000158864	NDUFS2	"NADH:ubiquinone oxidoreductase core subunit S2"
ENSG00000158865	SLC5A11	"solute carrier family 5 member 11"
ENSG00000158869	FCER1G	"Fc fragment of IgE receptor Ig"
ENSG00000158874	APOA2	"apolipoprotein A2"
ENSG00000158882	TOMM40L	"translocase of outer mitochondrial membrane 40 like"
ENSG00000158887	MPZ	"myelin protein zero"
ENSG00000158901	WFDC8	"WAP four-disulfide core domain 8"
ENSG00000158941	CCAR2	"cell cycle and apoptosis regulator 2"
ENSG00000158955	WNT9B	"Wnt family member 9B"
ENSG00000158966	CACHD1	"cache domain containing 1"
ENSG00000158985	CDC42SE2	"CDC42 small effector 2"
ENSG00000158987	RAPGEF6	"Rap guanine nucleotide exchange factor 6"
ENSG00000159023	EPB41	"erythrocyte membrane protein band 4.1"
ENSG00000159055	MIS18A	"MIS18 kinetochore protein A"
ENSG00000159063	ALG8	"ALG8, alpha-1,3-glucosyltransferase"
ENSG00000159069	FBXW5	"F-box and WD repeat domain containing 5"
ENSG00000159079	C21orf59	"chromosome 21 open reading frame 59"
ENSG00000159082	SYNJ1	"synaptojanin 1"
ENSG00000159086	PAXBP1	"PAX3 and PAX7 binding protein 1"
ENSG00000159110	IFNAR2	"interferon alpha and beta receptor subunit 2"
ENSG00000159111	MRPL10	"mitochondrial ribosomal protein L10"
ENSG00000159128	IFNGR2	"interferon gamma receptor 2"
ENSG00000159131	GART	"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
ENSG00000159140	SON	"SON DNA binding protein"
ENSG00000159147	DONSON	"downstream neighbor of SON"
ENSG00000159164	SV2A	"synaptic vesicle glycoprotein 2A"
ENSG00000159166	LAD1	"ladinin 1"
ENSG00000159167	STC1	"stanniocalcin 1"
ENSG00000159173	TNNI1	"troponin I1, slow skeletal type"
ENSG00000159176	CSRP1	"cysteine and glycine rich protein 1"
ENSG00000159182	PRAC1	"PRAC1 small nuclear protein"
ENSG00000159184	HOXB13	"homeobox B13"
ENSG00000159186	AC007383.1	""
ENSG00000159189	C1QC	"complement C1q C chain"
ENSG00000159197	KCNE2	"potassium voltage-gated channel subfamily E regulatory subunit 2"
ENSG00000159199	ATP5MC1	"ATP synthase membrane subunit c locus 1"
ENSG00000159200	RCAN1	"regulator of calcineurin 1"
ENSG00000159202	UBE2Z	"ubiquitin conjugating enzyme E2 Z"
ENSG00000159208	CIART	"circadian associated repressor of transcription"
ENSG00000159210	SNF8	"SNF8, ESCRT-II complex subunit"
ENSG00000159212	CLIC6	"chloride intracellular channel 6"
ENSG00000159214	CCDC24	"coiled-coil domain containing 24"
ENSG00000159216	RUNX1	"runt related transcription factor 1"
ENSG00000159217	IGF2BP1	"insulin like growth factor 2 mRNA binding protein 1"
ENSG00000159224	GIP	"gastric inhibitory polypeptide"
ENSG00000159228	CBR1	"carbonyl reductase 1"
ENSG00000159231	CBR3	"carbonyl reductase 3"
ENSG00000159239	AC005041.1	""
ENSG00000159247	TUBBP5	"tubulin beta pseudogene 5"
ENSG00000159248	GJD2	"gap junction protein delta 2"
ENSG00000159251	ACTC1	"actin, alpha, cardiac muscle 1"
ENSG00000159256	MORC3	"MORC family CW-type zinc finger 3"
ENSG00000159259	CHAF1B	"chromatin assembly factor 1 subunit B"
ENSG00000159261	CLDN14	"claudin 14"
ENSG00000159263	SIM2	"single-minded family bHLH transcription factor 2"
ENSG00000159267	HLCS	"holocarboxylase synthetase"
ENSG00000159289	GOLGA6A	"golgin A6 family member A"
ENSG00000159307	SCUBE1	"signal peptide, CUB domain and EGF like domain containing 1"
ENSG00000159314	ARHGAP27	"Rho GTPase activating protein 27"
ENSG00000159322	ADPGK	"ADP dependent glucokinase"
ENSG00000159335	PTMS	"parathymosin"
ENSG00000159337	PLA2G4D	"phospholipase A2 group IVD"
ENSG00000159339	PADI4	"peptidyl arginine deiminase 4"
ENSG00000159346	ADIPOR1	"adiponectin receptor 1"
ENSG00000159348	CYB5R1	"cytochrome b5 reductase 1"
ENSG00000159352	PSMD4	"proteasome 26S subunit, non-ATPase 4"
ENSG00000159363	ATP13A2	"ATPase 13A2"
ENSG00000159374	M1AP	"meiosis 1 associated protein"
ENSG00000159377	PSMB4	"proteasome subunit beta 4"
ENSG00000159387	IRX6	"iroquois homeobox 6"
ENSG00000159388	BTG2	"BTG anti-proliferation factor 2"
ENSG00000159398	CES5A	"carboxylesterase 5A"
ENSG00000159399	HK2	"hexokinase 2"
ENSG00000159403	C1R	"complement C1r"
ENSG00000159409	CELF3	"CUGBP Elav-like family member 3"
ENSG00000159423	ALDH4A1	"aldehyde dehydrogenase 4 family member A1"
ENSG00000159433	STARD9	"StAR related lipid transfer domain containing 9"
ENSG00000159445	THEM4	"thioesterase superfamily member 4"
ENSG00000159450	TCHH	"trichohyalin"
ENSG00000159455	LCE2B	"late cornified envelope 2B"
ENSG00000159459	UBR1	"ubiquitin protein ligase E3 component n-recognin 1"
ENSG00000159461	AMFR	"autocrine motility factor receptor"
ENSG00000159479	MED8	"mediator complex subunit 8"
ENSG00000159495	TGM7	"transglutaminase 7"
ENSG00000159496	RGL4	"ral guanine nucleotide dissociation stimulator like 4"
ENSG00000159516	SPRR2G	"small proline rich protein 2G"
ENSG00000159527	PGLYRP3	"peptidoglycan recognition protein 3"
ENSG00000159556	ISL2	"ISL LIM homeobox 2"
ENSG00000159579	RSPRY1	"ring finger and SPRY domain containing 1"
ENSG00000159588	CCDC17	"coiled-coil domain containing 17"
ENSG00000159592	GPBP1L1	"GC-rich promoter binding protein 1 like 1"
ENSG00000159593	NAE1	"NEDD8 activating enzyme E1 subunit 1"
ENSG00000159596	TMEM69	"transmembrane protein 69"
ENSG00000159618	ADGRG5	"adhesion G protein-coupled receptor G5"
ENSG00000159625	DRC7	"dynein regulatory complex subunit 7"
ENSG00000159640	ACE	"angiotensin I converting enzyme"
ENSG00000159648	TEPP	"testis, prostate and placenta expressed"
ENSG00000159650	UROC1	"urocanate hydratase 1"
ENSG00000159658	EFCAB14	"EF-hand calcium binding domain 14"
ENSG00000159674	SPON2	"spondin 2"
ENSG00000159685	CHCHD6	"coiled-coil-helix-coiled-coil-helix domain containing 6"
ENSG00000159692	CTBP1	"C-terminal binding protein 1"
ENSG00000159708	LRRC36	"leucine rich repeat containing 36"
ENSG00000159712	ANKRD18CP	"ankyrin repeat domain 18C, pseudogene"
ENSG00000159713	TPPP3	"tubulin polymerization promoting protein family member 3"
ENSG00000159714	ZDHHC1	"zinc finger DHHC-type containing 1"
ENSG00000159720	ATP6V0D1	"ATPase H+ transporting V0 subunit d1"
ENSG00000159723	AGRP	"agouti related neuropeptide"
ENSG00000159733	ZFYVE28	"zinc finger FYVE-type containing 28"
ENSG00000159753	CARMIL2	"capping protein regulator and myosin 1 linker 2"
ENSG00000159761	C16orf86	"chromosome 16 open reading frame 86"
ENSG00000159763	PIP	"prolactin induced protein"
ENSG00000159784	FAM131B	"family with sequence similarity 131 member B"
ENSG00000159788	RGS12	"regulator of G protein signaling 12"
ENSG00000159792	PSKH1	"protein serine kinase H1"
ENSG00000159840	ZYX	"zyxin"
ENSG00000159842	ABR	"active BCR-related"
ENSG00000159860	TCAF2P1	"TRPM8 channel associated factor 2 pseudogene 1"
ENSG00000159871	LYPD5	"LY6/PLAUR domain containing 5"
ENSG00000159873	CCDC117	"coiled-coil domain containing 117"
ENSG00000159882	ZNF230	"zinc finger protein 230"
ENSG00000159884	CCDC107	"coiled-coil domain containing 107"
ENSG00000159885	ZNF222	"zinc finger protein 222"
ENSG00000159899	NPR2	"natriuretic peptide receptor 2"
ENSG00000159904	ZNF890P	"zinc finger protein 890, pseudogene"
ENSG00000159905	ZNF221	"zinc finger protein 221"
ENSG00000159915	ZNF233	"zinc finger protein 233"
ENSG00000159917	ZNF235	"zinc finger protein 235"
ENSG00000159921	GNE	"glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"
ENSG00000159958	TNFRSF13C	"TNF receptor superfamily member 13C"
ENSG00000159961	OR3A3	"olfactory receptor family 3 subfamily A member 3"
ENSG00000160007	ARHGAP35	"Rho GTPase activating protein 35"
ENSG00000160013	PTGIR	"prostaglandin I2 receptor"
ENSG00000160014	CALM3	"calmodulin 3"
ENSG00000160049	DFFA	"DNA fragmentation factor subunit alpha"
ENSG00000160050	CCDC28B	"coiled-coil domain containing 28B"
ENSG00000160051	IQCC	"IQ motif containing C"
ENSG00000160055	TMEM234	"transmembrane protein 234"
ENSG00000160058	BSDC1	"BSD domain containing 1"
ENSG00000160062	ZBTB8A	"zinc finger and BTB domain containing 8A"
ENSG00000160072	ATAD3B	"ATPase family, AAA domain containing 3B"
ENSG00000160075	SSU72	"SSU72 homolog, RNA polymerase II CTD phosphatase"
ENSG00000160087	UBE2J2	"ubiquitin conjugating enzyme E2 J2"
ENSG00000160094	ZNF362	"zinc finger protein 362"
ENSG00000160097	FNDC5	"fibronectin type III domain containing 5"
ENSG00000160111	CPAMD8	"C3 and PZP like, alpha-2-macroglobulin domain containing 8"
ENSG00000160113	NR2F6	"nuclear receptor subfamily 2 group F member 6"
ENSG00000160117	ANKLE1	"ankyrin repeat and LEM domain containing 1"
ENSG00000160124	CCDC58	"coiled-coil domain containing 58"
ENSG00000160131	VMA21	"VMA21, vacuolar ATPase assembly factor"
ENSG00000160145	KALRN	"kalirin RhoGEF kinase"
ENSG00000160161	CILP2	"cartilage intermediate layer protein 2"
ENSG00000160172	FAM86C2P	"family with sequence similarity 86 member C2, pseudogene"
ENSG00000160179	ABCG1	"ATP binding cassette subfamily G member 1"
ENSG00000160180	TFF3	"trefoil factor 3"
ENSG00000160181	TFF2	"trefoil factor 2"
ENSG00000160182	TFF1	"trefoil factor 1"
ENSG00000160183	TMPRSS3	"transmembrane serine protease 3"
ENSG00000160185	UBASH3A	"ubiquitin associated and SH3 domain containing A"
ENSG00000160188	RSPH1	"radial spoke head 1 homolog"
ENSG00000160190	SLC37A1	"solute carrier family 37 member 1"
ENSG00000160191	PDE9A	"phosphodiesterase 9A"
ENSG00000160193	WDR4	"WD repeat domain 4"
ENSG00000160194	NDUFV3	"NADH:ubiquinone oxidoreductase subunit V3"
ENSG00000160199	PKNOX1	"PBX/knotted 1 homeobox 1"
ENSG00000160200	CBS	"cystathionine-beta-synthase"
ENSG00000160201	U2AF1	"U2 small nuclear RNA auxiliary factor 1"
ENSG00000160202	CRYAA	"crystallin alpha A"
ENSG00000160207	HSF2BP	"heat shock transcription factor 2 binding protein"
ENSG00000160208	RRP1B	"ribosomal RNA processing 1B"
ENSG00000160209	PDXK	"pyridoxal kinase"
ENSG00000160211	G6PD	"glucose-6-phosphate dehydrogenase"
ENSG00000160213	CSTB	"cystatin B"
ENSG00000160214	RRP1	"ribosomal RNA processing 1"
ENSG00000160216	AGPAT3	"1-acylglycerol-3-phosphate O-acyltransferase 3"
ENSG00000160218	TRAPPC10	"trafficking protein particle complex 10"
ENSG00000160219	GAB3	"GRB2 associated binding protein 3"
ENSG00000160221	C21orf33	"chromosome 21 open reading frame 33"
ENSG00000160223	ICOSLG	"inducible T cell costimulator ligand"
ENSG00000160224	AIRE	"autoimmune regulator"
ENSG00000160226	C21orf2	"chromosome 21 open reading frame 2"
ENSG00000160229	ZNF66	"zinc finger protein 66"
ENSG00000160233	LRRC3	"leucine rich repeat containing 3"
ENSG00000160255	ITGB2	"integrin subunit beta 2"
ENSG00000160256	FAM207A	"family with sequence similarity 207 member A"
ENSG00000160271	RALGDS	"ral guanine nucleotide dissociation stimulator"
ENSG00000160282	FTCD	"formimidoyltransferase cyclodeaminase"
ENSG00000160284	SPATC1L	"spermatogenesis and centriole associated 1 like"
ENSG00000160285	LSS	"lanosterol synthase"
ENSG00000160293	VAV2	"vav guanine nucleotide exchange factor 2"
ENSG00000160294	MCM3AP	"minichromosome maintenance complex component 3 associated protein"
ENSG00000160298	C21orf58	"chromosome 21 open reading frame 58"
ENSG00000160299	PCNT	"pericentrin"
ENSG00000160305	DIP2A	"disco interacting protein 2 homolog A"
ENSG00000160307	S100B	"S100 calcium binding protein B"
ENSG00000160310	PRMT2	"protein arginine methyltransferase 2"
ENSG00000160318	CLDND2	"claudin domain containing 2"
ENSG00000160321	ZNF208	"zinc finger protein 208"
ENSG00000160323	ADAMTS13	"ADAM metallopeptidase with thrombospondin type 1 motif 13"
ENSG00000160325	CACFD1	"calcium channel flower domain containing 1"
ENSG00000160326	SLC2A6	"solute carrier family 2 member 6"
ENSG00000160336	ZNF761	"zinc finger protein 761"
ENSG00000160339	FCN2	"ficolin 2"
ENSG00000160345	C9orf116	"chromosome 9 open reading frame 116"
ENSG00000160349	LCN1	"lipocalin 1"
ENSG00000160352	ZNF714	"zinc finger protein 714"
ENSG00000160360	GPSM1	"G protein signaling modulator 1"
ENSG00000160392	C19orf47	"chromosome 19 open reading frame 47"
ENSG00000160396	HIPK4	"homeodomain interacting protein kinase 4"
ENSG00000160401	CFAP157	"cilia and flagella associated protein 157"
ENSG00000160404	TOR2A	"torsin family 2 member A"
ENSG00000160408	ST6GALNAC6	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6"
ENSG00000160410	SHKBP1	"SH3KBP1 binding protein 1"
ENSG00000160439	RDH13	"retinol dehydrogenase 13"
ENSG00000160445	ZER1	"zyg-11 related cell cycle regulator"
ENSG00000160446	ZDHHC12	"zinc finger DHHC-type containing 12"
ENSG00000160447	PKN3	"protein kinase N3"
ENSG00000160460	SPTBN4	"spectrin beta, non-erythrocytic 4"
ENSG00000160469	BRSK1	"BR serine/threonine kinase 1"
ENSG00000160471	COX6B2	"cytochrome c oxidase subunit 6B2"
ENSG00000160472	TMEM190	"transmembrane protein 190"
ENSG00000160505	NLRP4	"NLR family pyrin domain containing 4"
ENSG00000160539	PLPP7	"phospholipid phosphatase 7 (inactive)"
ENSG00000160551	TAOK1	"TAO kinase 1"
ENSG00000160563	MED27	"mediator complex subunit 27"
ENSG00000160570	DEDD2	"death effector domain containing 2"
ENSG00000160584	SIK3	"SIK family kinase 3"
ENSG00000160588	MPZL3	"myelin protein zero like 3"
ENSG00000160593	JAML	"junction adhesion molecule like"
ENSG00000160602	NEK8	"NIMA related kinase 8"
ENSG00000160606	TLCD1	"TLC domain containing 1"
ENSG00000160613	PCSK7	"proprotein convertase subtilisin/kexin type 7"
ENSG00000160633	SAFB	"scaffold attachment factor B"
ENSG00000160654	CD3G	"CD3g molecule"
ENSG00000160678	S100A1	"S100 calcium binding protein A1"
ENSG00000160679	CHTOP	"chromatin target of PRMT1"
ENSG00000160683	CXCR5	"C-X-C motif chemokine receptor 5"
ENSG00000160685	ZBTB7B	"zinc finger and BTB domain containing 7B"
ENSG00000160688	FLAD1	"flavin adenine dinucleotide synthetase 1"
ENSG00000160691	SHC1	"SHC adaptor protein 1"
ENSG00000160695	VPS11	"VPS11, CORVET/HOPS core subunit"
ENSG00000160703	NLRX1	"NLR family member X1"
ENSG00000160710	ADAR	"adenosine deaminase, RNA specific"
ENSG00000160712	IL6R	"interleukin 6 receptor"
ENSG00000160714	UBE2Q1	"ubiquitin conjugating enzyme E2 Q1"
